"id","name","applicability","country_id/id","name@uz"
"account_tag_bs_0380","BS Line 0380: Current Tax Assets (Other Taxes & Levies)","accounts","base.uz","Balans 0380-satr: Boshqa soliqlar va yigʻimlar boʻyicha joriy aktivlar"
"account_tag_bs_0390","BS Line 0390: Short-Term Financial Assets at Amortized Cost","accounts","base.uz","Balans 0390-satr: Amortizatsiyalangan qiymat boʻyicha baholanadigan qisqa muddatli moliyaviy aktivlar"
"account_tag_bs_0400","BS Line 0400: Short-Term Financial Assets at Fair Value through OCI","accounts","base.uz","Balans 0400-satr: Boshqa umumlashgan daromad orqali haqqoniy qiymatda baholanadigan qisqa muddatli moliyaviy aktivlar"
"account_tag_bs_0410","BS Line 0410: Short-Term Financial Assets at Fair Value through P&L","accounts","base.uz","Balans 0410-satr: Foyda yoki zarar orqali haqqoniy qiymatda baholanadigan qisqa muddatli moliyaviy aktivlar"
"account_tag_bs_0420","BS Line 0420: Other Short-Term Financial Assets","accounts","base.uz","Balans 0420-satr: Boshqa qisqa muddatli moliyaviy aktivlar"
"account_tag_bs_0430","BS Line 0430: Cash & Cash Equivalents","accounts","base.uz","Balans 0430-satr: Pul mablagʻlari va uning ekvivalentlari"
"account_tag_bs_0440","BS Line 0440: Other Current Assets","accounts","base.uz","Balans 0440-satr: Boshqa qisqa muddatli aktivlar"
"account_tag_bs_0460","BS Line 0460: Assets Held for Sale (Disposal Groups)","accounts","base.uz","Balans 0460-satr: Sotish uchun moʻljallangan aktivlar (hisobdan chiqariladigan guruhlar)"
"account_tag_bs_0510","BS Line 0510: Share Capital (Issued Capital)","accounts","base.uz","Balans 0510-satr: Ustav kapitali"
"account_tag_bs_0520","BS Line 0520: Additional Paid-In Capital","accounts","base.uz","Balans 0520-satr: Qoʻshilgan kapital"
"account_tag_bs_0530","BS Line 0530: Reserves","accounts","base.uz","Balans 0530-satr: Rezerv kapitali"
"account_tag_bs_0540","BS Line 0540: Retained Earnings (Accumulated Deficit)","accounts","base.uz","Balans 0540-satr: Taqsimlanmagan foyda (Qoplanmagan zarar)"
"account_tag_bs_0550","BS Line 0550: Other Comprehensive Income (OCI)","accounts","base.uz","Balans 0550-satr: Boshqa umumlashgan daromadning komponentlari"
"account_tag_bs_0560","BS Line 0560: Other Equity Components","accounts","base.uz","Balans 0560-satr: Xususiy kapitalning boshqa komponentlari"
"account_tag_bs_0610","BS Line 0610: Trade & Other Long-Term Payables","accounts","base.uz","Balans 0610-satr: Savdo va boshqa uzoq muddatli kreditorlik qarzlar"
"account_tag_bs_0620","BS Line 0620: Long-Term Lease Liabilities","accounts","base.uz","Balans 0620-satr: Ijara boʻyicha uzoq muddatli majburiyatlar"
"account_tag_bs_0630","BS Line 0630: Long-Term Contract Liabilities (Customers)","accounts","base.uz","Balans 0630-satr: Xaridorlar bilan shartnomalar boʻyicha uzoq muddatli majburiyat"
"account_tag_bs_0640","BS Line 0640: Long-Term Provisions","accounts","base.uz","Balans 0640-satr: Uzoq muddatli baholangan majburiyatlar"
"account_tag_bs_0650","BS Line 0650: Long-Term Employee Benefits","accounts","base.uz","Balans 0650-satr: Xodimlarning uzoq muddatli daromadlari"
"account_tag_bs_0660","BS Line 0660: Deferred Income","accounts","base.uz","Balans 0660-satr: Kechiktirilgan daromadlar"
"account_tag_bs_0670","BS Line 0670: Deferred Tax Liabilities","accounts","base.uz","Balans 0670-satr: Kechiktirilgan soliq majburiyatlari"
"account_tag_bs_0680","BS Line 0680: Government Grants","accounts","base.uz","Balans 0680-satr: Davlat grantlari"
"account_tag_bs_0690","BS Line 0690: Long-Term Financial Liabilities at Amortized Cost","accounts","base.uz","Balans 0690-satr: Amortizatsiyalangan qiymat boʻyicha baholanadigan uzoq muddatli moliyaviy majburiyatlar"
"account_tag_bs_0700","BS Line 0700: Long-Term Financial Liabilities at Fair Value through P&L","accounts","base.uz","Balans 0700-satr: Foyda yoki zarar orqali haqqoniy qiymatda baholanadigan uzoq muddatli moliyaviy majburiyatlar"
"account_tag_bs_0710","BS Line 0710: Other Long-Term Financial Liabilities","accounts","base.uz","Balans 0710-satr: Boshqa uzoq muddatli moliyaviy majburiyatlar"
"account_tag_bs_0720","BS Line 0720: Other Non-Current Liabilities","accounts","base.uz","Balans 0720-satr: Boshqa uzoq muddatli majburiyatlar"
"account_tag_bs_0810","BS Line 0810: Trade & Other Short-Term Payables","accounts","base.uz","Balans 0810-satr: Savdo va boshqa qisqa muddatli kreditorlik qarzlar"
"account_tag_bs_0820","BS Line 0820: Short-Term Lease Liabilities","accounts","base.uz","Balans 0820-satr: Ijara boʻyicha qisqa muddatli majburiyatlar"
"account_tag_bs_0830","BS Line 0830: Short-Term Contract Liabilities (Customers)","accounts","base.uz","Balans 0830-satr: Xaridorlar bilan shartnomalar boʻyicha qisqa muddatli majburiyat"
"account_tag_bs_0840","BS Line 0840: Short-Term Provisions","accounts","base.uz","Balans 0840-satr: Qisqa muddatli baholangan majburiyatlar"
"account_tag_bs_0850","BS Line 0850: Short-Term Employee Benefits","accounts","base.uz","Balans 0850-satr: Xodimlarning qisqa muddatli daromadlari"
"account_tag_bs_0860","BS Line 0860: Deferred Income","accounts","base.uz","Balans 0860-satr: Kechiktirilgan daromadlar"
"account_tag_bs_0870","BS Line 0870: Government Grants","accounts","base.uz","Balans 0870-satr: Davlat grantlari"
"account_tag_bs_0880","BS Line 0880: Dividends Payable","accounts","base.uz","Balans 0880-satr: Toʻlanadigan dividendlar"
"account_tag_bs_0890","BS Line 0890: Advances Received","accounts","base.uz","Balans 0890-satr: Olingan avanslar"
"account_tag_bs_0900","BS Line 0900: Current Tax Liabilities (Income Tax)","accounts","base.uz","Balans 0900-satr: Foyda soligʻi boʻyicha joriy majburiyatlari"
"account_tag_bs_0910","BS Line 0910: Current Tax Liabilities (Other Taxes & Levies)","accounts","base.uz","Balans 0910-satr: Boshqa soliqlar va yigʻimlar boʻyicha joriy majburiyatlar"
"account_tag_bs_0920","BS Line 0920: Short-Term Financial Liabilities at Amortized Cost","accounts","base.uz","Balans 0920-satr: Amortizatsiyalangan qiymat boʻyicha baholanadigan qisqa muddatli moliyaviy majburiyatlar"
"account_tag_bs_0930","BS Line 0930: Short-Term Financial Liabilities at Fair Value through P&L","accounts","base.uz","Balans 0930-satr: Foyda yoki zarar orqali haqqoniy qiymatda baholanadigan qisqa muddatli moliyaviy majburiyatlar"
"account_tag_bs_0940","BS Line 0940: Other Short-Term Financial Liabilities","accounts","base.uz","Balans 0940-satr: Boshqa qisqa muddatli moliyaviy majburiyatlar"
"account_tag_bs_0950","BS Line 0950: Other Current Liabilities","accounts","base.uz","Balans 0950-satr: Boshqa qisqa muddatli majburiyatlar"
"account_tag_bs_0970","BS Line 0970: Liabilities in Disposal Groups Held for Sale","accounts","base.uz","Balans 0970-satr: Sotish uchun moʻljallangan hisobdan chiqariladigan guruhlarga kiritilgan majburiyatlar"
"account_tag_pl_0110","P&L Line 0110: Revenue","accounts","base.uz","Foyda/Zarar 0110-satr: Tushum"
"account_tag_pl_0120","P&L Line 0120: Cost of Sales","accounts","base.uz","Foyda/Zarar 0120-satr: Sotish tannarxi"
"account_tag_pl_0210","P&L Line 0210: Other Operating Income","accounts","base.uz","Foyda/Zarar 0210-satr: Operatsion faoliyatning boshqa daromadlari"
"account_tag_pl_0220","P&L Line 0220: Selling Expenses","accounts","base.uz","Foyda/Zarar 0220-satr: Sotish xarajatlari"
"account_tag_pl_0230","P&L Line 0230: General & Administrative Expenses","accounts","base.uz","Foyda/Zarar 0230-satr: Maʼmuriy xarajatlar"
"account_tag_pl_0240","P&L Line 0240: Impairment Losses on Assets","accounts","base.uz","Foyda/Zarar 0240-satr: Aktivlarni qadrsizlanishidan zararlar"
"account_tag_pl_0250","P&L Line 0250: Other Operating Expenses","accounts","base.uz","Foyda/Zarar 0250-satr: Operatsion faoliyatning boshqa xarajatlari"
"account_tag_pl_0310","P&L Line 0310: Share of Profit (Loss) of Associates & Joint Ventures","accounts","base.uz","Foyda/Zarar 0310-satr: Taʼsir ostidagi tashkilotlar va qoʻshma korxonalarning foydasining (zararining) tashkilotga tegishli ulushi"
"account_tag_pl_0320","P&L Line 0320: Finance Costs (Interest on Borrowings & Leases)","accounts","base.uz","Foyda/Zarar 0320-satr: Qarzlar va moliyaviy ijara boʻyicha foizlar shaklidagi xarajatlar"
"account_tag_pl_0330","P&L Line 0330: Foreign Exchange Gain (Loss)","accounts","base.uz","Foyda/Zarar 0330-satr: Valyuta kursi farqidan foyda (zarar)"
"account_tag_pl_0340","P&L Line 0340: Other Finance Income","accounts","base.uz","Foyda/Zarar 0340-satr: Moliyaviy faoliyatning boshqa daromadlari"
"account_tag_pl_0350","P&L Line 0350: Other Finance Costs","accounts","base.uz","Foyda/Zarar 0350-satr: Moliyaviy faoliyat boʻyicha boshqa xarajatlari"
"account_tag_pl_0420","P&L Line 0420: Current Income Tax Expense","accounts","base.uz","Foyda/Zarar 0420-satr: Joriy foyda soligʻi xarajati"
"account_tag_pl_0430","P&L Line 0430: Deferred Tax Expense (Income)","accounts","base.uz","Foyda/Zarar 0430-satr: Kechiktirilgan soliq xarajati (daromadi)"
"account_tag_pl_0510","P&L Line 0510: Profit (Loss) from Discontinued Operations","accounts","base.uz","Foyda/Zarar 0510-satr: Tugatilgan faoliyatdan foyda (zarar)"
"account_tag_pl_0710","P&L Line 0710: Revaluation Surplus on Fixed Assets & Intangibles (Revaluation Model)","accounts","base.uz","Foyda/Zarar 0710-satr: Qayta baholash modeliga muvofiq baholanadigan asosiy vositalar va nomoddiy aktivlar uchun qayta baholash natijasida qiymatning oʻsishidagi oʻzgarishlar"
"account_tag_pl_0720","P&L Line 0720: Share of OCI of Associates & Joint Ventures","accounts","base.uz","Foyda/Zarar 0720-satr: Taʼsir ostidagi tashkilotlar va qoʻshma korxonalarning boshqa umumlashgan daromadining (zararining) tashkilotga tegishli ulushi"
"account_tag_pl_0730","P&L Line 0730: Income Tax Effects on Non-Reclassifiable Items","accounts","base.uz","Foyda/Zarar 0730-satr: Reklassifikatsiya qilinmaydigan moddalar boʻyicha foyda soligʻi taʼsirlari"
"account_tag_pl_0810","P&L Line 0810: Exchange Differences on Translation of Foreign Operations","accounts","base.uz","Foyda/Zarar 0810-satr: Chet eldagi boʻlinmani boshqa valyutaga oʻtkazishda yuzaga keladigan kurs farqlari"
"account_tag_pl_0820","P&L Line 0820: Fair Value Changes on Financial Instruments at FVOCI","accounts","base.uz","Foyda/Zarar 0820-satr: Boshqa umumlashgan daromad orqali haqqoniy qiymatda baholanadigan moliyaviy instrumentlarni qayta baholash natijasida qiymatning oʻsishidagi oʻzgarishlar"
"account_tag_pl_0830","P&L Line 0830: Cash Flow Hedges","accounts","base.uz","Foyda/Zarar 0830-satr: Pul oqimini xejlash"
"account_tag_pl_0840","P&L Line 0840: Hedges of Net Investment in Foreign Operations","accounts","base.uz","Foyda/Zarar 0840-satr: Chet eldagi boʻlinmaga sof investitsiyalarni xejlash"
"account_tag_pl_0850","P&L Line 0850: Income Tax Effects on Reclassifiable Items","accounts","base.uz","Foyda/Zarar 0850-satr: Keyingi davrlarda foyda yoki zararda reklassifikatsiya qilinishi mumkin boʻlgan moddalar boʻyicha foyda soligʻi taʼsirlari"
"account_tag_pl_1030","P&L Line 1030: Basic EPS","accounts","base.uz","Foyda/Zarar 1030-satr: bazaviy koʻrsatkich"
"account_tag_pl_1040","P&L Line 1040: Diluted EPS","accounts","base.uz","Foyda/Zarar 1040-satr: suyultirilgan koʻrsatkich"
