id,name,description,type_tax_use,amount_type,amount,account_id:id,refund_account_id:id,chart_template_id:id,sequence,children_tax_ids:id,tag_ids:id
lu_2011_tax_AB-EC-6-n,Purchase Goods 6% - Extra-Community (-),AB-EC-6-n,none,percent,-6,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1118,,tag_lu_518
lu_2011_tax_AB-EC-6-p,Purchase Goods 6% - Extra-Community (+),AB-EC-6-p,none,percent,6,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1119,,tag_lu_330
lu_2011_tax_AB-EC-6,Purchase Goods 6% - Extra-Community,AB-EC-6,purchase,group,100,,,lu_2011_chart_1,117,"lu_2011_tax_AB-EC-6-n,lu_2011_tax_AB-EC-6-p",tag_lu_41
lu_2015_tax_AB-EC-8-n,Purchase Goods 8% - Extra-Community (-),AB-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1121,,tag_lu_519
lu_2015_tax_AB-EC-8-p,Purchase Goods 8% - Extra-Community (+),AB-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1122,,tag_lu_366
lu_2015_tax_AB-EC-8,Purchase Goods 8% - Extra-Community,AB-EC-8,purchase,group,100,,,lu_2011_chart_1,120,"lu_2015_tax_AB-EC-8-n,lu_2015_tax_AB-EC-8-p",tag_lu_85
lu_2015_tax_AB-ECP-0,Purchase Goods Exempted - Extra-Community fin privées,AB-ECP-0,purchase,percent,0,,,lu_2011_chart_1,123,,tag_lu_73
lu_2015_tax_AB-ECP-12-n,Purchase Goods 12% - Extra-Community fin privées (-),AB-ECP-12-n,none,percent,-12,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1125,,tag_lu_520
lu_2015_tax_AB-ECP-12-p,Purchase Goods 12% - Extra-Community fin privées (+),AB-ECP-12-p,none,percent,12,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1126,,tag_lu_354
lu_2015_tax_AB-ECP-12,Purchase Goods 12% - Extra-Community fin privées,AB-ECP-12,purchase,group,100,,,lu_2011_chart_1,124,"lu_2015_tax_AB-ECP-12-n,lu_2015_tax_AB-ECP-12-p",tag_lu_65
lu_2015_tax_AB-ECP-14-n,Purchase Goods 14% - Extra-Community fin privées (-),AB-ECP-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1128,,tag_lu_521
lu_2015_tax_AB-ECP-14-p,Purchase Goods 14% - Extra-Community fin privées (+),AB-ECP-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1129,,tag_lu_374
lu_2015_tax_AB-ECP-14,Purchase Goods 14% - Extra-Community fin privées,AB-ECP-14,purchase,group,100,,,lu_2011_chart_1,127,"lu_2015_tax_AB-ECP-14-n,lu_2015_tax_AB-ECP-14-p",tag_lu_93
lu_2015_tax_AB-ECP-15-n,Purchase Goods 15% - Extra-Community fin privées (-),AB-ECP-15-n,none,percent,-15,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1131,,tag_lu_522
lu_2015_tax_AB-ECP-15-p,Purchase Goods 15% - Extra-Community fin privées (+),AB-ECP-15-p,none,percent,15,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1132,,tag_lu_342
lu_2015_tax_AB-ECP-15,Purchase Goods 15% - Extra-Community fin privées,AB-ECP-15,purchase,group,100,,,lu_2011_chart_1,130,"lu_2015_tax_AB-ECP-15-n,lu_2015_tax_AB-ECP-15-p",tag_lu_53
lu_2015_tax_AB-ECP-17-n,Purchase Goods 17% - Extra-Community fin privées (-),AB-ECP-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1134,,tag_lu_523
lu_2015_tax_AB-ECP-17-p,Purchase Goods 17% - Extra-Community fin privées (+),AB-ECP-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1135,,tag_lu_370
lu_2015_tax_AB-ECP-17,Purchase Goods 17% - Extra-Community fin privées,AB-ECP-17,purchase,group,100,,,lu_2011_chart_1,133,"lu_2015_tax_AB-ECP-17-n,lu_2015_tax_AB-ECP-17-p",tag_lu_89
lu_2015_tax_AB-ECP-3-n,Purchase Goods 3% - Extra-Community fin privées (-),AB-ECP-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1137,,tag_lu_524
lu_2015_tax_AB-ECP-3-p,Purchase Goods 3% - Extra-Community fin privées (+),AB-ECP-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1138,,tag_lu_350
lu_2015_tax_AB-ECP-3,Purchase Goods 3% - Extra-Community fin privées,AB-ECP-3,purchase,group,100,,,lu_2011_chart_1,136,"lu_2015_tax_AB-ECP-3-n,lu_2015_tax_AB-ECP-3-p",tag_lu_61
lu_2015_tax_AB-ECP-6-n,Purchase Goods 6% - Extra-Community fin privées (-),AB-ECP-6-n,none,percent,-6,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1140,,tag_lu_525
lu_2015_tax_AB-ECP-6-p,Purchase Goods 6% - Extra-Community fin privées (+),AB-ECP-6-p,none,percent,6,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1141,,tag_lu_346
lu_2015_tax_AB-ECP-6,Purchase Goods 6% - Extra-Community fin privées,AB-ECP-6,purchase,group,100,,,lu_2011_chart_1,139,"lu_2015_tax_AB-ECP-6-n,lu_2015_tax_AB-ECP-6-p",tag_lu_57
lu_2015_tax_AB-ECP-8-n,Purchase Goods 8% - Extra-Community fin privées (-),AB-ECP-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1143,,tag_lu_526
lu_2015_tax_AB-ECP-8-p,Purchase Goods 8% - Extra-Community fin privées (+),AB-ECP-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1144,,tag_lu_378
lu_2015_tax_AB-ECP-8,Purchase Goods 8% - Extra-Community fin privées,AB-ECP-8,purchase,group,100,,,lu_2011_chart_1,142,"lu_2015_tax_AB-ECP-8-n,lu_2015_tax_AB-ECP-8-p",tag_lu_97
lu_2011_tax_AB-IC-0,Purchase Goods Exempted - Intra-Community,AB-IC-0,purchase,percent,0,,,lu_2011_chart_1,145,,tag_lu_20
lu_2011_tax_AB-IC-12-n,Purchase Goods 12% - Intra-Community (-),AB-IC-12-n,none,percent,-12,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1147,,tag_lu_491
lu_2011_tax_AB-IC-12-p,Purchase Goods 12% - Intra-Community (+),AB-IC-12-p,none,percent,12,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1148,,tag_lu_309
lu_2011_tax_AB-IC-12,Purchase Goods 12% - Intra-Community,AB-IC-12,purchase,group,100,,,lu_2011_chart_1,146,"lu_2011_tax_AB-IC-12-n,lu_2011_tax_AB-IC-12-p",tag_lu_16
lu_2015_tax_AB-IC-14-n,Purchase Goods 14% - Intra-Community (-),AB-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1150,,tag_lu_492
lu_2015_tax_AB-IC-14-p,Purchase Goods 14% - Intra-Community (+),AB-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1151,,tag_lu_317
lu_2015_tax_AB-IC-14,Purchase Goods 14% - Intra-Community,AB-IC-14,purchase,group,100,,,lu_2011_chart_1,149,"lu_2015_tax_AB-IC-14-n,lu_2015_tax_AB-IC-14-p",tag_lu_28
lu_2011_tax_AB-IC-15-n,Purchase Goods 15% - Intra-Community (-),AB-IC-15-n,none,percent,-15,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1153,,tag_lu_493
lu_2011_tax_AB-IC-15-p,Purchase Goods 15% - Intra-Community (+),AB-IC-15-p,none,percent,15,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1154,,tag_lu_297
lu_2011_tax_AB-IC-15,Purchase Goods 15% - Intra-Community,AB-IC-15,purchase,group,100,,,lu_2011_chart_1,152,"lu_2011_tax_AB-IC-15-n,lu_2011_tax_AB-IC-15-p",tag_lu_04
lu_2015_tax_AB-IC-17-n,Purchase Goods 17% - Intra-Community (-),AB-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1156,,tag_lu_494
lu_2015_tax_AB-IC-17-p,Purchase Goods 17% - Intra-Community (+),AB-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1157,,tag_lu_313
lu_2015_tax_AB-IC-17,Purchase Goods 17% - Intra-Community,AB-IC-17,purchase,group,100,,,lu_2011_chart_1,155,"lu_2015_tax_AB-IC-17-n,lu_2015_tax_AB-IC-17-p",tag_lu_24
lu_2011_tax_AB-IC-3-n,Purchase Goods 3% - Intra-Community (-),AB-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1159,,tag_lu_495
lu_2011_tax_AB-IC-3-p,Purchase Goods 3% - Intra-Community (+),AB-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1160,,tag_lu_305
lu_2011_tax_AB-IC-3,Purchase Goods 3% - Intra-Community,AB-IC-3,purchase,group,100,,,lu_2011_chart_1,158,"lu_2011_tax_AB-IC-3-n,lu_2011_tax_AB-IC-3-p",tag_lu_12
lu_2011_tax_AB-IC-6-n,Purchase Goods 6% - Intra-Community (-),AB-IC-6-n,none,percent,-6,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1162,,tag_lu_496
lu_2011_tax_AB-IC-6-p,Purchase Goods 6% - Intra-Community (+),AB-IC-6-p,none,percent,6,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1163,,tag_lu_301
lu_2011_tax_AB-IC-6,Purchase Goods 6% - Intra-Community,AB-IC-6,purchase,group,100,,,lu_2011_chart_1,161,"lu_2011_tax_AB-IC-6-n,lu_2011_tax_AB-IC-6-p",tag_lu_08
lu_2015_tax_AB-IC-8-n,Purchase Goods 8% - Intra-Community (-),AB-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1165,,tag_lu_497
lu_2015_tax_AB-IC-8-p,Purchase Goods 8% - Intra-Community (+),AB-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1166,,tag_lu_321
lu_2015_tax_AB-IC-8,Purchase Goods 8% - Intra-Community,AB-IC-8,purchase,group,100,,,lu_2011_chart_1,164,"lu_2015_tax_AB-IC-8-n,lu_2015_tax_AB-IC-8-p",tag_lu_32
lu_2011_tax_AB-PA-0,Purchase Goods 0% - Country,AB-PA-0,purchase,percent,0,,,lu_2011_chart_1,167,,tag_lu_220
lu_2011_tax_AB-PA-12,Purchase Goods 12% - Country,AB-PA-12,purchase,percent,12,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,168,,"tag_lu_221,tag_lu_447"
lu_2015_tax_AB-PA-14,Purchase Goods 14% - Country,AB-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,169,,"tag_lu_222,tag_lu_448"
lu_2011_tax_AB-PA-15,Purchase Goods 15% - Country,AB-PA-15,purchase,percent,15,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,170,,"tag_lu_223,tag_lu_449"
lu_2015_tax_AB-PA-17,Purchase Goods 17% - Country,AB-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,171,,"tag_lu_224,tag_lu_450"
lu_2011_tax_AB-PA-3,Purchase Goods 3% - Country,AB-PA-3,purchase,percent,3,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,172,,"tag_lu_225,tag_lu_451"
lu_2011_tax_AB-PA-6,Purchase Goods 6% - Country,AB-PA-6,purchase,percent,6,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,173,,"tag_lu_226,tag_lu_452"
lu_2015_tax_AB-PA-8,Purchase Goods 8% - Country,AB-PA-8,purchase,percent,8,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,174,,"tag_lu_453,tag_lu_227"
lu_2011_tax_AP-EC-0,Purchase Services Exempted - Extra-Community,AP-EC-0,purchase,percent,0,,,lu_2011_chart_1,175,,tag_lu_153
lu_2011_tax_AP-EC-12-n,Purchase Services 12% - Extra-Community (-),AP-EC-12-n,none,percent,-12,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1177,,tag_lu_556
lu_2011_tax_AP-EC-12-p,Purchase Services 12% - Extra-Community (+),AP-EC-12-p,none,percent,12,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1178,,tag_lu_425
lu_2011_tax_AP-EC-12,Purchase Services 12% - Extra-Community,AP-EC-12,purchase,group,100,,,lu_2011_chart_1,176,"lu_2011_tax_AP-EC-12-n,lu_2011_tax_AP-EC-12-p",tag_lu_149
lu_2015_tax_AP-EC-14-n,Purchase Services 14% - Extra-Community (-),AP-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1180,,tag_lu_557
lu_2015_tax_AP-EC-14-p,Purchase Services 14% - Extra-Community (+),AP-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1181,,tag_lu_433
lu_2015_tax_AP-EC-14,Purchase Services 14% - Extra-Community,AP-EC-14,purchase,group,100,,,lu_2011_chart_1,179,"lu_2015_tax_AP-EC-14-n,lu_2015_tax_AP-EC-14-p",tag_lu_161
lu_2011_tax_AP-EC-15-n,Purchase Services 15% - Extra-Community (-),AP-EC-15-n,none,percent,-15,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1183,,tag_lu_558
lu_2011_tax_AP-EC-15-p,Purchase Services 15% - Extra-Community (+),AP-EC-15-p,none,percent,15,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1184,,tag_lu_413
lu_2011_tax_AP-EC-15,Purchase Services 15% - Extra-Community,AP-EC-15,purchase,group,100,,,lu_2011_chart_1,182,"lu_2011_tax_AP-EC-15-n,lu_2011_tax_AP-EC-15-p",tag_lu_137
lu_2015_tax_AP-EC-17-n,Purchase Services 17% - Extra-Community (-),AP-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1186,,tag_lu_559
lu_2015_tax_AP-EC-17-p,Purchase Services 17% - Extra-Community (+),AP-EC-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1187,,tag_lu_429
lu_2015_tax_AP-EC-17,Purchase Services 17% - Extra-Community,AP-EC-17,purchase,group,100,,,lu_2011_chart_1,185,"lu_2015_tax_AP-EC-17-n,lu_2015_tax_AP-EC-17-p",tag_lu_157
lu_2011_tax_AP-EC-3-n,Purchase Services 3% - Extra-Community (-),AP-EC-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1189,,tag_lu_560
lu_2011_tax_AP-EC-3-p,Purchase Services 3% - Extra-Community (+),AP-EC-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1190,,tag_lu_421
lu_2011_tax_AP-EC-3,Purchase Services 3% - Extra-Community,AP-EC-3,purchase,group,100,,,lu_2011_chart_1,188,"lu_2011_tax_AP-EC-3-n,lu_2011_tax_AP-EC-3-p",tag_lu_145
lu_2011_tax_AP-EC-6-n,Purchase Services 6% - Extra-Community (-),AP-EC-6-n,none,percent,-6,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1192,,tag_lu_561
lu_2011_tax_AP-EC-6-p,Purchase Services 6% - Extra-Community (+),AP-EC-6-p,none,percent,6,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1193,,tag_lu_417
lu_2011_tax_AP-EC-6,Purchase Services 6% - Extra-Community,AP-EC-6,purchase,group,100,,,lu_2011_chart_1,191,"lu_2011_tax_AP-EC-6-n,lu_2011_tax_AP-EC-6-p",tag_lu_141
lu_2015_tax_AP-EC-8-n,Purchase Services 8% - Extra-Community (-),AP-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1195,,tag_lu_562
lu_2015_tax_AP-EC-8-p,Purchase Services 8% - Extra-Community (+),AP-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1196,,tag_lu_437
lu_2015_tax_AP-EC-8,Purchase Services 8% - Extra-Community,AP-EC-8,purchase,group,100,,,lu_2011_chart_1,194,"lu_2015_tax_AP-EC-8-n,lu_2015_tax_AP-EC-8-p",tag_lu_165
lu_2011_tax_AP-IC-0,Purchase Services Exempted - Intra-Community,AP-IC-0,purchase,percent,0,,,lu_2011_chart_1,197,,tag_lu_120
lu_2011_tax_AP-IC-12-n,Purchase Services 12% - Intra-Community (-),AP-IC-12-n,none,percent,-12,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1199,,tag_lu_563
lu_2011_tax_AP-IC-12-p,Purchase Services 12% - Intra-Community (+),AP-IC-12-p,none,percent,12,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1200,,tag_lu_396
lu_2011_tax_AP-IC-12,Purchase Services 12% - Intra-Community,AP-IC-12,purchase,group,100,,,lu_2011_chart_1,198,"lu_2011_tax_AP-IC-12-n,lu_2011_tax_AP-IC-12-p",tag_lu_116
lu_2015_tax_AP-IC-14-n,Purchase Services 14% - Intra-Community (-),AP-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1202,,tag_lu_564
lu_2015_tax_AP-IC-14-p,Purchase Services 14% - Intra-Community (+),AP-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1203,,tag_lu_404
lu_2015_tax_AP-IC-14,Purchase Services 14% - Intra-Community,AP-IC-14,purchase,group,100,,,lu_2011_chart_1,201,"lu_2015_tax_AP-IC-14-n,lu_2015_tax_AP-IC-14-p",tag_lu_128
lu_2011_tax_AP-IC-15-n,Purchase Services 15% - Intra-Community (-),AP-IC-15-n,none,percent,-15,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1205,,tag_lu_565
lu_2011_tax_AP-IC-15-p,Purchase Services 15% - Intra-Community (+),AP-IC-15-p,none,percent,15,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1206,,tag_lu_384
lu_2011_tax_AP-IC-15,Purchase Services 15% - Intra-Community,AP-IC-15,purchase,group,100,,,lu_2011_chart_1,204,"lu_2011_tax_AP-IC-15-n,lu_2011_tax_AP-IC-15-p",tag_lu_104
lu_2015_tax_AP-IC-17-n,Purchase Services 17% - Intra-Community (-),AP-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1208,,tag_lu_566
lu_2015_tax_AP-IC-17-p,Purchase Services 17% - Intra-Community (+),AP-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1209,,tag_lu_400
lu_2015_tax_AP-IC-17,Purchase Services 17% - Intra-Community,AP-IC-17,purchase,group,100,,,lu_2011_chart_1,207,"lu_2015_tax_AP-IC-17-n,lu_2015_tax_AP-IC-17-p",tag_lu_124
lu_2011_tax_AP-IC-3-n,Purchase Services 3% - Intra-Community (-),AP-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1211,,tag_lu_567
lu_2011_tax_AP-IC-3-p,Purchase Services 3% - Intra-Community (+),AP-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1212,,tag_lu_392
lu_2011_tax_AP-IC-3,Purchase Services 3% - Intra-Community,AP-IC-3,purchase,group,100,,,lu_2011_chart_1,210,"lu_2011_tax_AP-IC-3-n,lu_2011_tax_AP-IC-3-p",tag_lu_112
lu_2011_tax_AP-IC-6-n,Purchase Services 6% - Intra-Community (-),AP-IC-6-n,none,percent,-6,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1214,,tag_lu_568
lu_2011_tax_AP-IC-6-p,Purchase Services 6% - Intra-Community (+),AP-IC-6-p,none,percent,6,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1215,,tag_lu_388
lu_2011_tax_AP-IC-6,Purchase Services 6% - Intra-Community,AP-IC-6,purchase,group,100,,,lu_2011_chart_1,213,"lu_2011_tax_AP-IC-6-n,lu_2011_tax_AP-IC-6-p",tag_lu_108
lu_2015_tax_AP-IC-8-n,Purchase Services 8% - Intra-Community (-),AP-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1217,,tag_lu_569
lu_2015_tax_AP-IC-8-p,Purchase Services 8% - Intra-Community (+),AP-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1218,,tag_lu_408
lu_2015_tax_AP-IC-8,Purchase Services 8% - Intra-Community,AP-IC-8,purchase,group,100,,,lu_2011_chart_1,216,"lu_2015_tax_AP-IC-8-n,lu_2015_tax_AP-IC-8-p",tag_lu_132
lu_2011_tax_AP-PA-0,Purchase Services 0% - Country,AP-PA-0,purchase,percent,0,,,lu_2011_chart_1,219,,tag_lu_228
lu_2011_tax_AP-PA-12,Purchase Services 12% - Country,AP-PA-12,purchase,percent,12,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,220,,"tag_lu_454,tag_lu_229"
lu_2015_tax_AP-PA-14,Purchase Services 14% - Country,AP-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,221,,"tag_lu_456,tag_lu_230"
lu_2011_tax_AP-PA-15,Purchase Services 15% - Country,AP-PA-15,purchase,percent,15,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,222,,"tag_lu_457,tag_lu_231"
lu_2015_tax_AP-PA-17,Purchase Services 17% - Country,AP-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,223,,"tag_lu_458,tag_lu_232"
lu_2011_tax_AP-PA-3,Purchase Services 3% - Country,AP-PA-3,purchase,percent,3,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,224,,"tag_lu_233,tag_lu_459"
lu_2011_tax_AP-PA-6,Purchase Services 6% - Country,AP-PA-6,purchase,percent,6,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,225,,"tag_lu_460,tag_lu_234"
lu_2015_tax_AP-PA-8,Purchase Services 8% - Country,AP-PA-8,purchase,percent,8,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,226,,"tag_lu_235,tag_lu_461"
lu_2011_tax_FB-EC-0,Expenses Goods Exempted - Extra-Community,FB-EC-0,purchase,percent,0,,,lu_2011_chart_1,227,,tag_lu_70
lu_2011_tax_FB-EC-12-n,Expenses Goods 12% - Extra-Community (-),FB-EC-12-n,none,percent,-12,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1229,,tag_lu_527
lu_2011_tax_FB-EC-12-p,Expenses Goods 12% - Extra-Community (+),FB-EC-12-p,none,percent,12,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1230,,tag_lu_339
lu_2011_tax_FB-EC-12,Expenses Goods 12% - Extra-Community,FB-EC-12,purchase,group,100,,,lu_2011_chart_1,228,"lu_2011_tax_FB-EC-12-n,lu_2011_tax_FB-EC-12-p",tag_lu_50
lu_2015_tax_FB-EC-14-n,Expenses Goods 14% - Extra-Community (-),FB-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1232,,tag_lu_528
