"id","sequence","active","description","invoice_label","type_tax_use","name","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override"
"","","","","","","","","","","","","","","","","","","tax","+mod303[33]||+mod390[622]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[621]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[622]","refund","account_common_472","","","",""
"account_tax_template_p_iva21_ibi","","True","VAT 21% import (investment goods)","","purchase","21% EX IG","IVA 21% Importaciones bienes de inversión","IVA 21% Importacions béns d'inversió","21.0","percent","tax_group_iva_21","","sujeto","","True","consu","","base","+mod303[34]||+mod390[625]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[35]||+mod390[626]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[625]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[626]","refund","account_common_472","","","",""
"account_tax_template_p_iva4_sp_ex","","True","VAT 4% import (services)","","purchase","4% EX S","IVA 4% Adquisición de servicios extracomunitarios","IVA 4% Adquisició de serveis extracomunitaris","4.0","percent","tax_group_iva_4","","sujeto_isp","","","service","","base","+mod303[28]||+mod303[12]||+mod390[605]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[13]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[605]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva10_sp_ex","","True","VAT 10% import (services)","","purchase","10% EX S","IVA 10% Adquisición de servicios extracomunitarios","IVA 10% Adquisició de serveis extracomunitaris","10.0","percent","tax_group_iva_10","","sujeto_isp","","","service","","base","+mod303[28]||+mod303[12]||+mod390[605]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[13]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[605]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21_sp_ex","","True","VAT 21% import (services)","","purchase","21% EX S","IVA 21% Adquisición de servicios extracomunitarios","IVA 21% Adquisició de serveis extracomunitaris","21.0","percent","tax_group_iva_21","","sujeto_isp","","","service","","base","+mod303[28]||+mod303[12]||+mod390[605]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[13]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[605]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva4_ic_bc","","True","VAT 4% intra-community (goods)","","purchase","4% EU G","IVA 4% Adquisición Intracomunitario. Bienes corrientes","IVA 4% Adquisició intracomunitari. Béns corrents","4.0","percent","tax_group_iva_4","","sujeto","","","consu","","base","+mod303[36]||+mod303[10]||+mod390[21]||+mod390[214]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[215]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[22]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[21]||-mod390[214]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[215]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[22]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva4_ic_bi","","True","VAT 4% intra-community (investment goods)","","purchase","4% EU IG","IVA 4% Adquisición Intracomunitario. Bienes de inversión","IVA 4% Adquisició intracomunitari. Béns d'inversió","4.0","percent","tax_group_iva_4","","sujeto","","True","consu","","base","+mod303[38]||+mod303[10]||+mod390[220]||+mod390[21]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[39]||+mod390[221]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[22]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[220]||-mod390[21]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[221]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[22]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva5_ic_bi","","True","VAT 5% intra-community (investment goods)","","purchase","5% EU IG","IVA 5% Adquisición Intracomunitario. Bienes de inversión","IVA 5% Adquisició intracomunitari. Béns d'inversió","5.0","percent","tax_group_iva_5","","sujeto","","True","consu","","base","+mod303[38]||+mod303[10]||+mod390[738]||+mod390[718]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[39]||+mod390[739]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[719]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[738]||-mod390[718]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[739]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[719]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva10_ic_bc","","True","VAT 10% intra-community (goods)","","purchase","10% EU G","IVA 10% Adquisición Intracomunitario. Bienes corrientes","IVA 10% Adquisició intracomunitari. Béns corrents","10.0","percent","tax_group_iva_10","","sujeto","","True","consu","","base","+mod303[36]||+mod303[10]||+mod390[23]||+mod390[627]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[628]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[24]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[23]||-mod390[627]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[628]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[24]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva10_ic_bi","","True","VAT 10% intra-community (investment goods)","","purchase","10% EU IG","IVA 10% Adquisición Intracomunitario. Bienes de inversión","IVA 10% Adquisició intracomunitari. Béns d'inversió","10.0","percent","tax_group_iva_10","","sujeto","","True","consu","","base","+mod303[38]||+mod303[10]||+mod390[23]||+mod390[631]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[39]||+mod390[632]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[24]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[23]||-mod390[631]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[632]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[24]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva7-5_ic_bc","","True","VAT 7.5% intra-community (goods)","","purchase","7.5% EU G","IVA 7,5% Adquisición Intracomunitario. Bienes corrientes","IVA 7,5% Adquisició intracomunitari. Béns corrents","7.5","percent","tax_group_iva_7-5","","sujeto","","","consu","","base","+mod303[36]||+mod303[10]||+mod390[718]||-mod390[767]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[768]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[719]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[718]||+mod390[767]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[768]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[719]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva7-5_ic_sc","","True","VAT 7.5% intra-community (services)","","purchase","7.5% EU S","IVA 7,5% Adquisición Intracomunitario. Servicios corrientes","IVA 7,5% Adquisició intracomunitari. Serveis corrents","7.5","percent","tax_group_iva_7-5","","sujeto","","","service","","base","+mod303[36]||+mod303[10]||+mod390[689]||+mod390[775]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[776]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[690]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[689]||-mod390[775]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[776]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[690]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva5_ic_bc","","False","VAT 5% intra-community (goods)","","purchase","5% EU G","IVA 5% Adquisición Intracomunitario. Bienes corrientes","IVA 5% Adquisició intracomunitari. Béns corrents","5.0","percent","tax_group_iva_5","","sujeto","","","consu","","base","+mod303[36]||+mod303[10]||+mod390[718]||+mod390[736]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[737]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[719]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[718]||-mod390[736]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[737]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[719]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva5_ic_sc","","False","VAT 5% intra-community (services)","","purchase","5% EU S","IVA 5% Adquisición Intracomunitario. Servicios corrientes","IVA 5% Adquisició intracomunitari. Serveis corrents","5.0","percent","tax_group_iva_5","","sujeto","","","service","","base","+mod303[36]||+mod303[10]||+mod390[722]||+mod390[740]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[741]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[722]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[722]||-mod390[740]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[741]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[723]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva2_ic_bc","","True","VAT 2% intra-community (goods)","","purchase","2% EU G","IVA 2% Adquisición Intracomunitario. Bienes corrientes","IVA 2% Adquisició intracomunitari. Béns corrents","2.0","percent","tax_group_iva_2","","sujeto","","","consu","","base","+mod303[36]||+mod303[10]||+mod390[683]||+mod390[765]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[766]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[684]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[718]||-mod390[765]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[766]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[719]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva2_ic_sc","","True","VAT 2% intra-community (services)","","purchase","2% EU S","IVA 2% Adquisición Intracomunitario. Servicios corrientes","IVA 2% Adquisició intracomunitari. Serveis corrents","2.0","percent","tax_group_iva_2","","sujeto","","","service","","base","+mod303[36]||+mod303[10]||+mod390[687]||+mod390[773]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[774]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||+mod390[688]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[687]||-mod390[773]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[774]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[688]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva0_ic_bc","","True","VAT 0% intra-community (goods)","","purchase","0% EU G","IVA 0% Adquisición Intracomunitario. Bienes corrientes","IVA 0% Adquisició intracomunitari. Béns corrents","0.0","percent","tax_group_iva_0","","sujeto","","","consu","","base","+mod303[36]||+mod303[10]||+mod390[26]||+mod390[716]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[26]||-mod390[716]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_p_iva0_ic_sc","","True","VAT 0% intra-community (services)","","purchase","0% EU S","IVA 0% Adquisición Intracomunitario. Servicios corrientes","IVA 0% Adquisició intracomunitari. Serveis corrents","0.0","percent","tax_group_iva_0","","sujeto","","","service","","base","+mod303[36]||+mod303[10]||+mod390[720]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[720]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_s_iva0_sp_i","","True","VAT 0% intra-community (services)","Intra-Community (Services)","sale","0% EU S","IVA 0% Prestación de servicios intracomunitario","IVA 0% Prestació de serveis intracomunitari","0.0","percent","tax_group_iva_0","","no_sujeto_loc","","","service","","base","+mod303[59]||+mod390[103]","invoice","","","Intracomunitario exento (Servicios)","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[59]||+mod390[103]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_s_iva_ns","","True","Not Subject To VAT (services)","Not subject (Services)","sale","0% S NS","No sujeto Repercutido (Servicios)","No sotmès Repercutit (serveis)","0.0","percent","tax_group_iva_0","","no_sujeto_loc","","","service","","base","+mod303[120]||+mod390[110]","invoice","","","No sujeto (Servicios)","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","base","+mod303[120]||+mod390[110]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_oss_s_iva_ns","","True","OSS Not Subject To VAT (services)","Not subject to and covered by OSS (Services)","sale","0% S OSS EXEMPT","No sujeto y acogidas a la OSS (Servicios)","No sotmès i acollides a la OSS (serveis)","0.0","percent","tax_group_iva_0","","ignore","","","service","","base","+mod303[123]","invoice","","100","No sujeto y acogidas a la OSS (Servicios)","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[123]","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","100","","",""
"account_tax_template_s_iva_ns_b","","True","Not Subject To VAT (goods)","Not subject (Goods)","sale","0% G NS","No sujeto (Bienes)","No sotmès (béns)","0.0","percent","tax_group_iva_0","","no_sujeto_loc","","","consu","","base","+mod303[120]||+mod390[110]","invoice","","","No sujeto (Bienes)","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[120]||-mod390[110]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_oss_s_iva_ns_b","","True","OSS Not Subject To VAT (goods)","Not subject to and covered by OSS (Goods)","sale","0% G OSS EXEMPT","No sujeto y acogidas a la OSS (Bienes)","No sotmès i accollides a la OSS (béns)","0.0","percent","tax_group_iva_0","","ignore","","","consu","","base","+mod303[123]","invoice","","100","No sujeto y acogidas a la OSS (Bienes)","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","100","","",""
"","","","","","","","","","","","","","","","","","","base","+mod303[123]","refund","","100","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","100","","",""
"account_tax_template_s_iva_e","","True","VAT 0% export (services)","Non-EU","sale","0% EX S","IVA 0% Extracomunitaria (Servicios)","IVA 0% Prestació de serveis extracomunitari","0.0","percent","tax_group_iva_0","","no_sujeto_loc","","","service","","base","+mod303[60]||+mod390[104]","invoice","","","Extracomunitario (Servicios)","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[60]||-mod390[104]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"account_tax_template_p_iva4_ibc","","True","VAT 4% import (goods)","","purchase","4% EX G","IVA 4% Importaciones bienes corrientes","IVA 4% Importacions béns corrents","4.0","percent","tax_group_iva_4","","dua","","","consu","","base","+mod303[32]||+mod390[202]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[33]||+mod390[203]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[202]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[203]","refund","account_common_472","","","",""
"account_tax_template_p_iva4_ibi","","True","VAT 4% import (investment goods)","","purchase","4% EX IG","IVA 4% Importaciones bienes de inversión","IVA 4% Importacions béns d'inversió","4.0","percent","tax_group_iva_4","","sujeto","","True","consu","","base","+mod303[34]||+mod390[208]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[35]||+mod390[209]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[208]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[209]","refund","account_common_472","","","",""
"account_tax_template_p_iva5_ibi","","True","VAT 5% import (investment goods)","","purchase","5% EX IG","IVA 5% Importaciones bienes de inversión","IVA 5% Importacions béns d'inversió","5.0","percent","tax_group_iva_5","","sujeto","","True","consu","","base","+mod303[32]||+mod390[734]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[33]||+mod390[735]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[734]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[735]","refund","account_common_472","","","",""
"account_tax_template_p_iva10_ibc","","True","VAT 10% import (goods)","","purchase","10% EX G","IVA 10% Importaciones bienes corrientes","IVA 10% Importacions béns corrents","10.0","percent","tax_group_iva_10","","dua","","","consu","","base","+mod303[32]||+mod390[619]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[33]||+mod390[620]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[619]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[620]","refund","account_common_472","","","",""
"account_tax_template_p_iva10_ibi","","True","VAT 10% import (investment goods)","","purchase","10% EX IG","IVA 10% Importaciones bienes de inversión","IVA 10% Importacions béns d'inversió","10.0","percent","tax_group_iva_10","","sujeto","","True","consu","","base","+mod303[34]||+mod390[623]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[35]||+mod390[624]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[623]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[624]","refund","account_common_472","","","",""
"account_tax_template_p_iva7-5_ibc","","True","VAT 7.5% import (goods)","","purchase","7.5% EX G","IVA 7,5% Importaciones bienes corrientes","IVA 7,5% Importacions béns corrents","7.5","percent","tax_group_iva_7-5","","sujeto","","","consu","","base","+mod303[32]||+mod390[759]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[33]||+mod390[760]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[759]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[760]","refund","account_common_472","","","",""
"account_tax_template_p_iva7-5_isc","","True","VAT 7.5% import (services)","","purchase","7.5% EX S","IVA 7,5% Adquisición de servicios extracomunitarios","IVA 7,5% Adquisició de serveis extracomunitaris","7.5","percent","tax_group_iva_7-5","","sujeto_isp","","","service","","base","+mod303[28]||+mod303[12]||+mod390[605]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[13]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[605]","refund","","","","",""
