"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@bg","active"
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","-15","","",""
"","","","","","","","","","100","tax","refund","","","",""
"l10n_bg_sale_vat_0_140","123","0% 140","0% Art. 140, 146, 173","0% Art. 140, 146, 173","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+16","","0% чл. 140, 146, 173","False"
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","-16","","",""
"","","","","","","","","","100","tax","refund","","","",""
"l10n_bg_sale_vat_0_21","124","0% 21","0% Art. 21","0% Art. 21","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+17","","0% чл. 21","False"
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","-17","","",""
"","","","","","","","","","100","tax","refund","","","",""
"l10n_bg_sale_vat_0_exempt","125","0% EXEMPT","0% Exempt","0% Exempt","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+19","","0% осв.",""
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","-19","","",""
"","","","","","","","","","100","tax","refund","","","",""
"l10n_bg_sale_vat_0_tri","126","0% Tri","0% Tripartite","0% Tripartite","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+18","","0% тристр.","False"
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","-18","","",""
"","","","","","","","","","100","tax","refund","","","",""
"l10n_bg_purchase_vat_20_ftc","201","20% FTC","20% Foreign Tax Credit","20% Foreign Tax Credit","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","+31","","20% ПДК",""
"","","","","","","","","","100","tax","invoice","+41","l10n_bg_4531","",""
"","","","","","","","","","100","base","refund","-31","","",""
"","","","","","","","","","100","tax","refund","-41","l10n_bg_4531","",""
"l10n_bg_purchase_vat_20_ptc","202","20% PTC","20% Payable Tax Credit","20% Payable Tax Credit","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","+32","","20% ЧДК",""
"","","","","","","","","","100","tax","invoice","+42","l10n_bg_4531","",""
"","","","","","","","","","100","base","refund","-32","","",""
"","","","","","","","","","100","tax","refund","-42","l10n_bg_4531","",""
"l10n_bg_purchase_vat_20_otc","203","20% OTC","20% Other Tax Credit","20% Other Tax Credit","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","+30","","20% бДК",""
"","","","","","","","","","100","tax","invoice","+30","l10n_bg_4531","",""
"","","","","","","","","","100","base","refund","-30","","",""
"","","","","","","","","","100","tax","refund","-30","l10n_bg_4531","",""
"l10n_bg_purchase_vat_20_ftc_exempt","204","20% FTC EXEMPT","20% Foreign Tax Credit – Exempt","20% Foreign Tax Credit – Exempt","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","+19||+31","","",""
"","","","","","","","","","100","tax","invoice","+41","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","invoice","-22","l10n_bg_4532","",""
"","","","","","","","","","100","base","refund","-19||-31","","",""
"","","","","","","","","","100","tax","refund","-41","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","refund","+22","l10n_bg_4532","",""
"l10n_bg_purchase_vat_20_ftc_ica","204","20% EU FTC","20% Foreign Tax Credit – Intra-Community Acquisition","20% Foreign Tax Credit – Intra-Community Acquisition","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","+12_1||+31","","20% ПДК (ВОП)",""
"","","","","","","","","","100","tax","invoice","+41","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","invoice","-22","l10n_bg_4532","",""
"","","","","","","","","","100","base","refund","-12_1||-31","","",""
"","","","","","","","","","100","tax","refund","-41","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","refund","+22","l10n_bg_4532","",""
"l10n_bg_purchase_vat_20_ftc_82","205","20% FTC 82","20% Foreign Tax Credit – Art. 82","20% Foreign Tax Credit – Art. 82","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","+12_2||+31","","20% ПДК (чл.82)","False"
"","","","","","","","","","100","tax","invoice","+41","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","invoice","-22","l10n_bg_4532","",""
"","","","","","","","","","100","base","refund","-12_2||-31","","",""
"","","","","","","","","","100","tax","refund","-41","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","refund","+22","l10n_bg_4532","",""
"l10n_bg_purchase_vat_20_ptc_exempt","206","20% PTC EXEMPT","20% Payable Tax Credit – Exempt","20% Payable Tax Credit – Exempt","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","+19||+32","","",""
"","","","","","","","","","100","tax","invoice","+42","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","invoice","-22","l10n_bg_4532","",""
"","","","","","","","","","100","base","refund","-19||-32","","",""
"","","","","","","","","","100","tax","refund","-42","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","refund","+22","l10n_bg_4532","",""
"l10n_bg_purchase_vat_20_ptc_ica","206","20% EU PTC","20% Payable Tax Credit – Intra-Community Acquisition","20% Payable Tax Credit – Intra-Community Acquisition","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","+12_1||+32","","",""
"","","","","","","","","","100","tax","invoice","+42","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","invoice","-22","l10n_bg_4532","",""
"","","","","","","","","","100","base","refund","-12_1||-32","","",""
"","","","","","","","","","100","tax","refund","-42","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","refund","+22","l10n_bg_4532","",""
"l10n_bg_purchase_vat_20_ptc_82","207","20% PTC 82","20% Payable Tax Credit - Art. 82","20% Payable Tax Credit - Art. 82","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","+12_2||+32","","20% ЧДК (чл.82)","False"
"","","","","","","","","","100","tax","invoice","+42","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","invoice","-22","l10n_bg_4532","",""
"","","","","","","","","","100","base","refund","-12_2||-32","","",""
"","","","","","","","","","100","tax","refund","-42","l10n_bg_4531","",""
"","","","","","","","","","-100","tax","refund","+22","l10n_bg_4532","",""
"l10n_bg_purchase_vat_9_ftc","211","9% FTC","9% Foreign Tax Credit","9% Foreign Tax Credit","9.0","percent","purchase","tax_group_vat_9","100","base","invoice","+31","","9% ПДК",""
"","","","","","","","","","100","tax","invoice","+41","l10n_bg_4531","",""
"","","","","","","","","","100","base","refund","-31","","",""
"","","","","","","","","","100","tax","refund","-41","l10n_bg_4531","",""
"l10n_bg_purchase_vat_9_otc","212","9% OTC","9% Other Tax Credit","9% Other Tax Credit","9.0","percent","purchase","tax_group_vat_9","100","base","invoice","+30","","9% бДК",""
"","","","","","","","","","100","tax","invoice","+30","l10n_bg_4531","",""
"","","","","","","","","","100","base","refund","-30","","",""
"","","","","","","","","","100","tax","refund","-30","l10n_bg_4531","",""
"l10n_bg_purchase_vat_0_otc_ica","231","0% EU OTC","0% Other Tax Credit – Intra-Community Acquisition","0% Other Tax Credit – Intra-Community Acquisition","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","+19||+30","","0% бДК (ВОП)",""
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","-19||-30","","",""
"","","","","","","","","","100","tax","refund","","","",""
"l10n_bg_purchase_vat_0_otc_exempt","232","0% OTC EXEMPT","0% Other Tax Credit – Exempt","0% Other Tax Credit – Exempt","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","+30","","0% бДК (осв.)",""
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","-30","","",""
"","","","","","","","","","100","tax","refund","","","",""
"l10n_bg_purchase_vat_0_tri","233","0% Tri","0% Tripartite","0% Tripartite","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","+18","","0% тристр.","False"
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","-18","","",""
"","","","","","","","","","100","tax","refund","","","",""
