id,employee_id:id,skill_id:id,skill_type_id:id,skill_level_id:id
employee_skill_vad_analytics,hr.employee_tina,hr_skill_analytics,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_vad_digital_ad,hr.employee_tina,hr_skill_digital_ad,hr_skill_type_marketing,hr_skill_level_ml3
employee_skill_walter_bengali,hr.employee_walter,hr_skill_bengali,hr_skill_type_lang,hr_skill_level_b2
employee_skill_walter_python,hr.employee_walter,hr_skill_python,hr_skill_type_dev,hr_skill_level_advanced
employee_skill_walter_react,hr.employee_walter,hr_skill_react,hr_skill_type_dev,hr_skill_level_advanced
employee_skill_walter_analytics,hr.employee_walter,hr_skill_analytics,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_walter_digital_ad,hr.employee_walter,hr_skill_digital_ad,hr_skill_type_marketing,hr_skill_level_ml4
employee_skill_paul_cms,hr.employee_paul,hr_skill_cms,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_paul_email,hr.employee_paul,hr_skill_email,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_paul_digital_ad,hr.employee_paul,hr_skill_digital_ad,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_paul_com,hr.employee_paul,hr_skill_com,hr_skill_type_marketing,hr_skill_level_ml4
employee_skill_paul_french,hr.employee_paul,hr_skill_french,hr_skill_type_lang,hr_skill_level_b1
employee_skill_paul_spark,hr.employee_paul,hr_skill_spark,hr_skill_type_dev,hr_skill_level_expert
employee_skill_paul_c,hr.employee_paul,hr_skill_c,hr_skill_type_dev,hr_skill_level_elementary
employee_skill_paul_js,hr.employee_paul,hr_skill_js,hr_skill_type_dev,hr_skill_level_expert
employee_skill_paul_hadoop,hr.employee_paul,hr_skill_hadoop,hr_skill_type_dev,hr_skill_level_advanced
employee_skill_jod_filipino,hr.employee_rachel,hr_skill_filipino,hr_skill_type_lang,hr_skill_level_c1
employee_skill_jod_spark,hr.employee_rachel,hr_skill_spark,hr_skill_type_dev,hr_skill_level_advanced
employee_skill_jod_sql,hr.employee_rachel,hr_skill_sql,hr_skill_type_dev,hr_skill_level_expert
employee_skill_jod_analytics,hr.employee_rachel,hr_skill_analytics,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_jod_public,hr.employee_rachel,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml2
employee_skill_beth_public,hr.employee_beth,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_beth_cms,hr.employee_beth,hr_skill_cms,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_beth_filipino,hr.employee_beth,hr_skill_filipino,hr_skill_type_lang,hr_skill_level_c1
employee_skill_beth_german,hr.employee_beth,hr_skill_german,hr_skill_type_lang,hr_skill_level_c1
employee_skill_beth_bengali,hr.employee_beth,hr_skill_bengali,hr_skill_type_lang,hr_skill_level_a1
employee_skill_beth_django,hr.employee_beth,hr_skill_django,hr_skill_type_dev,hr_skill_level_elementary
employee_skill_beth_react,hr.employee_beth,hr_skill_react,hr_skill_type_dev,hr_skill_level_beginner
employee_skill_jgo_digital_ad,hr.employee_ernest,hr_skill_digital_ad,hr_skill_type_marketing,hr_skill_level_ml3
employee_skill_jgo_public,hr.employee_ernest,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml2
employee_skill_jgo_analytics,hr.employee_ernest,hr_skill_analytics,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_jgo_com,hr.employee_ernest,hr_skill_com,hr_skill_type_marketing,hr_skill_level_ml1
employee_skill_lur_english,hr.employee_eli,hr_skill_english,hr_skill_type_lang,hr_skill_level_c2
employee_skill_lur_french,hr.employee_eli,hr_skill_french,hr_skill_type_lang,hr_skill_level_a1
employee_skill_hne_spanish,hr.employee_abigail,hr_skill_spanish,hr_skill_type_lang,hr_skill_level_c1
employee_skill_hne_cms,hr.employee_abigail,hr_skill_cms,hr_skill_type_marketing,hr_skill_level_ml4
employee_skill_hne_public,hr.employee_abigail,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml3
employee_skill_hne_com,hr.employee_abigail,hr_skill_com,hr_skill_type_marketing,hr_skill_level_ml4
employee_skill_hne_digital_ad,hr.employee_abigail,hr_skill_digital_ad,hr_skill_type_marketing,hr_skill_level_ml3
employee_skill_hne_sql,hr.employee_abigail,hr_skill_sql,hr_skill_type_dev,hr_skill_level_expert
