id,description,chart_template_id:id,type_tax_use,name,sequence,amount,price_include,amount_type
tax_iiva_05sv_SCI,IVA05S>SI,l10n_co_chart_template_generic,sale,IVA ( 5%) SERV SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,131,0,,percent
tax_iiva_16bv,IVA16b>,l10n_co_chart_template_generic,sale,IVA  16%  BIEN - OUT,102,0.16,,percent
tax_iiva_16bv_EXT,IVA16b>EX,l10n_co_chart_template_generic,sale,IVA (16%) BIEN EXTERIOR -> 0% - OUT,112,0,,percent
tax_iiva_16bv_ZFR,IVA16b>ZF,l10n_co_chart_template_generic,sale,IVA (16%) BIEN ZONA FRANCA -> 0% - OUT,122,0,,percent
tax_iiva_16bv_SCI,IVA16b>SI,l10n_co_chart_template_generic,sale,IVA (16%) BIEN SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,132,0,,percent
tax_iiva_16sv,IVA16S>,l10n_co_chart_template_generic,sale,IVA  16%  SERV - OUT,103,0.16,,percent
tax_iiva_16sv_EXT,IVA16S>EX,l10n_co_chart_template_generic,sale,IVA (16%) SERV EXTERIOR -> 0% - OUT,113,0,,percent
tax_iiva_16sv_ZFR,IVA16S>ZF,l10n_co_chart_template_generic,sale,IVA (16%) SERV ZONA FRANCA -> 0% - OUT,123,0,,percent
tax_iiva_16sv_SCI,IVA16S>SI,l10n_co_chart_template_generic,sale,IVA (16%) SERV SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,133,0,,percent
tax_iiva_exe_bv,IVAeeB>,l10n_co_chart_template_generic,sale,IVA EXENT BIEN - OUT,104,0,,percent
tax_iiva_exe_bv_EXT,IVAeeB>EX,l10n_co_chart_template_generic,sale,IVA EXENT BIEN EXTERIOR - OUT,114,0,,percent
tax_iiva_exe_bv_ZFR,IVAeeB>ZF,l10n_co_chart_template_generic,sale,IVA EXENT BIEN ZONA FRANCA - OUT,124,0,,percent
tax_iiva_exe_bv_SCI,IVAeeB>SI,l10n_co_chart_template_generic,sale,IVA EXENT BIEN SOCEDAD COMMERCIO INTERNACIONAL - OUT,134,0,,percent
tax_iiva_exe_sv,IVAeeS>,l10n_co_chart_template_generic,sale,IVA EXENT SERV - OUT,105,0,,percent
tax_iiva_exe_sv_EXT,IVAeeS>EX,l10n_co_chart_template_generic,sale,IVA EXENT SERV EXTERIOR - OUT,115,0,,percent
tax_iiva_exe_sv_ZFR,IVAeeS>ZF,l10n_co_chart_template_generic,sale,IVA EXENT SERV ZONA FRANCA - OUT,125,0,,percent
tax_iiva_exe_sv_SCI,IVAeeS>SI,l10n_co_chart_template_generic,sale,IVA EXENT SERV SOCEDAD COMMERCIO INTERNACIONAL - OUT,135,0,,percent
tax_iiva_exc_bv,IVAecB>,l10n_co_chart_template_generic,sale,IVA EXCLU BIEN - OUT,106,0,,percent
tax_iiva_exc_bv_EXT,IVAecB>EX,l10n_co_chart_template_generic,sale,IVA EXCLU BIEN EXTERIOR - OUT,116,0,,percent
tax_iiva_exc_bv_ZFR,IVAecB>ZF,l10n_co_chart_template_generic,sale,IVA EXCLU BIEN ZONA FRANCA - OUT,126,0,,percent
tax_iiva_exc_bv_SCI,IVAecB>SI,l10n_co_chart_template_generic,sale,IVA EXCLU BIEN SOCEDAD COMMERCIO INTERNACIONAL - OUT,136,0,,percent
tax_iiva_exc_sv,IVAecS>,l10n_co_chart_template_generic,sale,IVA EXCLU SERV - OUT,107,0,,percent
tax_iiva_exc_sv_EXT,IVAecS>EX,l10n_co_chart_template_generic,sale,IVA EXCLU SERV EXTERIOR - OUT,117,0,,percent
tax_iiva_exc_sv_ZFR,IVAecS>ZF,l10n_co_chart_template_generic,sale,IVA EXCLU SERV ZONA FRANCA - OUT,127,0,,percent
tax_iiva_exc_sv_SCI,IVAecS>SI,l10n_co_chart_template_generic,sale,IVA EXCLU SERV SOCEDAD COMMERCIO INTERNACIONAL - OUT,137,0,,percent
tax_iiva_no__bv,IVAngB>,l10n_co_chart_template_generic,sale,IVA NOGRA BIEN - OUT,108,0,,percent
tax_iiva_no__bv_EXT,IVAngB>EX,l10n_co_chart_template_generic,sale,IVA NOGRA BIEN EXTERIOR - OUT,118,0,,percent
tax_iiva_no__bv_ZFR,IVAngB>ZF,l10n_co_chart_template_generic,sale,IVA NOGRA BIEN ZONA FRANCA - OUT,128,0,,percent
tax_iiva_no__bv_SCI,IVAngB>SI,l10n_co_chart_template_generic,sale,IVA NOGRA BIEN SOCEDAD COMMERCIO INTERNACIONAL - OUT,138,0,,percent
tax_iiva_no__sv,IVAngS>,l10n_co_chart_template_generic,sale,IVA NOGRA SERV - OUT,109,0,,percent
tax_iiva_no__sv_EXT,IVAngS>EX,l10n_co_chart_template_generic,sale,IVA NOGRA SERV EXTERIOR - OUT,119,0,,percent
tax_iiva_no__sv_ZFR,IVAngS>ZF,l10n_co_chart_template_generic,sale,IVA NOGRA SERV ZONA FRANCA - OUT,129,0,,percent
tax_iiva_no__sv_SCI,IVAngS>SI,l10n_co_chart_template_generic,sale,IVA NOGRA SERV SOCEDAD COMMERCIO INTERNACIONAL - OUT,139,0,,percent
tax_iiva_05bc_D,IVA05Bd<,l10n_co_chart_template_generic,purchase,IVA 5% DIRECTO BIEN - IN,200,0.05,,percent
tax_iiva_05bc_EXT_D,IVA05Bd<EX,l10n_co_chart_template_generic,purchase,IVA 5% DIRECTO BIEN EXTERIOR - IN,220,0.05,,percent
tax_iiva_05bc_ZFR_D,IVA05Bd<ZF,l10n_co_chart_template_generic,purchase,IVA 5% DIRECTO BIEN ZONA FRANCA - IN,240,0.05,,percent
tax_iiva_05bc_SCI_D,IVA05Bd<SI,l10n_co_chart_template_generic,purchase,IVA 5% DIRECTO BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,260,0.05,,percent
tax_iiva_05sc_D,IVA05Sd<,l10n_co_chart_template_generic,purchase,IVA 5% DIRECTO SERV - IN,201,0.05,,percent
tax_iiva_05sc_EXT_D,IVA05Sd<EX,l10n_co_chart_template_generic,purchase,IVA 5% DIRECTO SERV EXTERIOR - IN,221,0.05,,percent
tax_iiva_05sc_ZFR_D,IVA05Sd<ZF,l10n_co_chart_template_generic,purchase,IVA 5% DIRECTO SERV ZONA FRANCA - IN,241,0.05,,percent
tax_iiva_05sc_SCI_D,IVA05Sd<SI,l10n_co_chart_template_generic,purchase,IVA 5% DIRECTO SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,261,0.05,,percent
tax_iiva_16bc_D,IVA16Bd<,l10n_co_chart_template_generic,purchase,IVA 16% DIRECTO BIEN - IN,202,0.16,,percent
tax_iiva_16bc_EXT_D,IVA16Bd<EX,l10n_co_chart_template_generic,purchase,IVA 16% DIRECTO BIEN EXTERIOR - IN,222,0.16,,percent
tax_iiva_16bc_ZFR_D,IVA16Bd<ZF,l10n_co_chart_template_generic,purchase,IVA 16% DIRECTO BIEN ZONA FRANCA - IN,242,0.16,,percent
tax_iiva_16bc_SCI_D,IVA16Bd<SI,l10n_co_chart_template_generic,purchase,IVA 16% DIRECTO BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,262,0.16,,percent
tax_iiva_16sc_D,IVA16Sd<,l10n_co_chart_template_generic,purchase,IVA 16% DIRECTO SERV - IN,203,0.16,,percent
tax_iiva_16sc_EXT_D,IVA16Sd<EX,l10n_co_chart_template_generic,purchase,IVA 16% DIRECTO SERV EXTERIOR - IN,223,0.16,,percent
tax_iiva_16sc_ZFR_D,IVA16Sd<ZF,l10n_co_chart_template_generic,purchase,IVA 16% DIRECTO SERV ZONA FRANCA - IN,243,0.16,,percent
tax_iiva_16sc_SCI_D,IVA16Sd<SI,l10n_co_chart_template_generic,purchase,IVA 16% DIRECTO SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,263,0.16,,percent
tax_iiva_05bc_C,IVA05Bc<,l10n_co_chart_template_generic,purchase,IVA 5% COMMUN BIEN NACIONAL - IN,204,0.05,,percent
tax_iiva_05bc_EXT_C,IVA05Bc<EX,l10n_co_chart_template_generic,purchase,IVA 5% COMMUN BIEN EXTERIOR - IN,224,0.05,,percent
tax_iiva_05bc_ZFR_C,IVA05Bc<ZF,l10n_co_chart_template_generic,purchase,IVA 5% COMMUN BIEN ZONA FRANCA - IN,244,0.05,,percent
tax_iiva_05bc_SCI_C,IVA05Bc<SI,l10n_co_chart_template_generic,purchase,IVA 5% COMMUN BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,264,0.05,,percent
tax_iiva_05sc_C,IVA05Sc<,l10n_co_chart_template_generic,purchase,IVA 5% COMMUN SERV - IN,205,0.05,,percent
tax_iiva_05sc_EXT_C,IVA05Sc<EX,l10n_co_chart_template_generic,purchase,IVA 5% COMMUN SERV EXTERIOR - IN,225,0.05,,percent
tax_iiva_05sc_ZFR_C,IVA05Sc<ZF,l10n_co_chart_template_generic,purchase,IVA 5% COMMUN SERV ZONA FRANCA - IN,245,0.05,,percent
tax_iiva_05sc_SCI_C,IVA05Sc<SI,l10n_co_chart_template_generic,purchase,IVA 5% COMMUN SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,265,0.05,,percent
tax_iiva_16bc_C,IVA16Bc<,l10n_co_chart_template_generic,purchase,IVA 16% COMMUN BIEN - IN,206,0.16,,percent
tax_iiva_16bc_EXT_C,IVA16Bc<EX,l10n_co_chart_template_generic,purchase,IVA 16% COMMUN BIEN EXTERIOR - IN,226,0.16,,percent
tax_iiva_16bc_ZFR_C,IVA16Bc<ZF,l10n_co_chart_template_generic,purchase,IVA 16% COMMUN BIEN ZONA FRANCA - IN,246,0.16,,percent
tax_iiva_16bc_SCI_C,IVA16Bc<SI,l10n_co_chart_template_generic,purchase,IVA 16% COMMUN BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,266,0.16,,percent
tax_iiva_16sc_C,IVA16Sc<,l10n_co_chart_template_generic,purchase,IVA 16% COMMUN SERV - IN,207,0.16,,percent
tax_iiva_16sc_EXT_C,IVA16Sc<EX,l10n_co_chart_template_generic,purchase,IVA 16% COMMUN SERV EXTERIOR - IN,227,0.16,,percent
tax_iiva_16sc_ZFR_C,IVA16Sc<ZF,l10n_co_chart_template_generic,purchase,IVA 16% COMMUN SERV ZONA FRANCA - IN,247,0.16,,percent
tax_iiva_16sc_SCI_C,IVA16Sc<SI,l10n_co_chart_template_generic,purchase,IVA 16% COMMUN SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,267,0.16,,percent
tax_iiva_05bc_N,IVA05Bn<,l10n_co_chart_template_generic,purchase,IVA 5% NO DESCONTABLE BIEN NACIONAL - IN,208,0.05,,percent
tax_iiva_05bc_EXT_N,IVA05Bn<EX,l10n_co_chart_template_generic,purchase,IVA 5% NO DESCONTABLE BIEN EXTERIOR - IN,228,0.05,,percent
tax_iiva_05bc_ZFR_N,IVA05Bn<ZF,l10n_co_chart_template_generic,purchase,IVA 5% NO DESCONTABLE BIEN ZONA FRANCA - IN,248,0.05,,percent
tax_iiva_05bc_SCI_N,IVA05Bn<SI,l10n_co_chart_template_generic,purchase,IVA 5% NO DESCONTABLE BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,268,0.05,,percent
tax_iiva_05sc_N,IVA05Sn<,l10n_co_chart_template_generic,purchase,IVA 5% NO DESCONTABLE SERV - IN,209,0.05,,percent
tax_iiva_05sc_EXT_N,IVA05Sn<EX,l10n_co_chart_template_generic,purchase,IVA 5% NO DESCONTABLE SERV EXTERIOR - IN,229,0.05,,percent
tax_iiva_05sc_ZFR_N,IVA05Sn<ZF,l10n_co_chart_template_generic,purchase,IVA 5% NO DESCONTABLE SERV ZONA FRANCA - IN,249,0.05,,percent
tax_iiva_05sc_SCI_N,IVA05Sn<SI,l10n_co_chart_template_generic,purchase,IVA 5% NO DESCONTABLE SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,269,0.05,,percent
tax_iiva_16bc_N,IVA16Bn<,l10n_co_chart_template_generic,purchase,IVA 16% NO DESCONTABLE BIEN - IN,210,0.16,,percent
tax_iiva_16bc_EXT_N,IVA16Bn<EX,l10n_co_chart_template_generic,purchase,IVA 16% NO DESCONTABLE BIEN EXTERIOR - IN,230,0.16,,percent
tax_iiva_16bc_ZFR_N,IVA16Bn<ZF,l10n_co_chart_template_generic,purchase,IVA 16% NO DESCONTABLE BIEN ZONA FRANCA - IN,250,0.16,,percent
tax_iiva_16bc_SCI_N,IVA16Bn<SI,l10n_co_chart_template_generic,purchase,IVA 16% NO DESCONTABLE BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,270,0.16,,percent
tax_iiva_16sc_N,IVA16Sn<,l10n_co_chart_template_generic,purchase,IVA 16% NO DESCONTABLE SERV - IN,211,0.16,,percent
tax_iiva_16sc_EXT_N,IVA16Sn<EX,l10n_co_chart_template_generic,purchase,IVA 16% NO DESCONTABLE SERV EXTERIOR - IN,231,0.16,,percent
tax_iiva_16sc_ZFR_N,IVA16Sn<ZF,l10n_co_chart_template_generic,purchase,IVA 16% NO DESCONTABLE SERV ZONA FRANCA - IN,251,0.16,,percent
tax_iiva_16sc_SCI_N,IVA16Sn<SI,l10n_co_chart_template_generic,purchase,IVA 16% NO DESCONTABLE SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,271,0.16,,percent
tax_iiva_exe bc,IVAeeB<,l10n_co_chart_template_generic,purchase,IVA EXENT BIEN - IN,212,0,,percent
tax_iiva_exe bc_EXT,IVAeeB<EX,l10n_co_chart_template_generic,purchase,IVA EXENT BIEN EXTERIOR - IN,232,0,,percent
tax_iiva_exe bc_ZFR,IVAeeB<ZF,l10n_co_chart_template_generic,purchase,IVA EXENT BIEN ZONA FRANCA - IN,252,0,,percent
tax_iiva_exe bc_SCI,IVAeeB<SI,l10n_co_chart_template_generic,purchase,IVA EXENT BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,272,0,,percent
tax_iiva_exe sc,IVAeeS<,l10n_co_chart_template_generic,purchase,IVA EXENT SERV - IN,213,0,,percent
tax_iiva_exe sc_EXT,IVAeeS<EX,l10n_co_chart_template_generic,purchase,IVA EXENT SERV EXTERIOR - IN,233,0,,percent
tax_iiva_exe sc_ZFR,IVAeeS<ZF,l10n_co_chart_template_generic,purchase,IVA EXENT SERV ZONA FRANCA - IN,253,0,,percent
tax_iiva_exe sc_SCI,IVAeeS<SI,l10n_co_chart_template_generic,purchase,IVA EXENT SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,273,0,,percent
tax_iiva_exc bc,IVAecB<,l10n_co_chart_template_generic,purchase,IVA EXCLU BIEN - IN,214,0,,percent
tax_iiva_exc bc_EXT,IVAecB<EX,l10n_co_chart_template_generic,purchase,IVA EXCLU BIEN EXTERIOR - IN,234,0,,percent
tax_iiva_exc bc_ZFR,IVAecB<ZF,l10n_co_chart_template_generic,purchase,IVA EXCLU BIEN ZONA FRANCA - IN,254,0,,percent
tax_iiva_exc bc_SCI,IVAecB<SI,l10n_co_chart_template_generic,purchase,IVA EXCLU BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,274,0,,percent
tax_iiva_exc sc,IVAecS<,l10n_co_chart_template_generic,purchase,IVA EXCLU SERV - IN,215,0,,percent
tax_iiva_exc sc_EXT,IVAecS<EX,l10n_co_chart_template_generic,purchase,IVA EXCLU SERV EXTERIOR - IN,235,0,,percent
tax_iiva_exc sc_ZFR,IVAecS<ZF,l10n_co_chart_template_generic,purchase,IVA EXCLU SERV ZONA FRANCA - IN,255,0,,percent
tax_iiva_exc sc_SCI,IVAecS<SI,l10n_co_chart_template_generic,purchase,IVA EXCLU SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,275,0,,percent
tax_iiva_no  bc,IVAngB<,l10n_co_chart_template_generic,purchase,IVA NOGRA BIEN - IN,216,0,,percent
tax_iiva_no  bc_EXT,IVAngB<EX,l10n_co_chart_template_generic,purchase,IVA NOGRA BIEN EXTERIOR - IN,236,0,,percent
tax_iiva_no  bc_ZFR,IVAngB<ZF,l10n_co_chart_template_generic,purchase,IVA NOGRA BIEN ZONA FRANCA - IN,256,0,,percent
tax_iiva_no  bc_SCI,IVAngB<SI,l10n_co_chart_template_generic,purchase,IVA NOGRA BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,276,0,,percent
tax_iiva_no  sc,IVAngS<,l10n_co_chart_template_generic,purchase,IVA NOGRA SERV - IN,217,0,,percent
tax_iiva_no  sc_EXT,IVAngS<EX,l10n_co_chart_template_generic,purchase,IVA NOGRA SERV EXTERIOR - IN,237,0,,percent
tax_iiva_no  sc_ZFR,IVAngS<ZF,l10n_co_chart_template_generic,purchase,IVA NOGRA SERV ZONA FRANCA - IN,257,0,,percent
tax_iiva_no  sc_SCI,IVAngS<SI,l10n_co_chart_template_generic,purchase,IVA NOGRA SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,277,0,,percent
tax_riva_240_rc_v,rIVA24>RC,l10n_co_chart_template_generic,sale,R IVA 2.4%,140,-0.024,,percent
tax_riva_075_rc_v,rIVA75>RC,l10n_co_chart_template_generic,sale,R IVA 0.75%,141,-0.0075,,percent
tax_riva_240_rc_c,rIVA24<RC,l10n_co_chart_template_generic,purchase,R IVA 2.4% AL REGIMEN COMMUN,280,-0.024,,percent
tax_riva_075_rc_c,rIVA75<RC,l10n_co_chart_template_generic,purchase,R IVA 0.75% AL REGIMEN COMMUN,281,-0.0075,,percent
tax_riva_240_rs_c_D,rIVA24D<RS,l10n_co_chart_template_generic,purchase,R IVA 2.4% DIRECTO - AL RS,282,1,,percent
tax_riva_240_rs_c_asum_D,rIVA24D<RS\,l10n_co_chart_template_generic,purchase,R IVA 2.4% DIRECTO - AL RS ASUMIDO,283,-0.024,,percent
tax_riva_240_rs_c_cp_D,rIVA24D<RS/,l10n_co_chart_template_generic,purchase,R IVA 2.4% DIRECTO - AL RS CONTRAPARTIDA,284,0.024,,percent
tax_riva_075_rs_c_D,rIVA75D<RS,l10n_co_chart_template_generic,purchase,R IVA 0.75% DIRECTO - AL RS,285,1,,percent
tax_riva_075_rs_c_asum_D,rIVA75D<RS\,l10n_co_chart_template_generic,purchase,R IVA 0.75% DIRECTO - AL RS ASUMIDO,286,-0.0075,,percent
tax_riva_075_rs_c_cp_D,rIVA75D<RS/,l10n_co_chart_template_generic,purchase,R IVA 0.75% DIRECTO - AL RS CONTRAPARTIDA,287,0.0075,,percent
tax_riva_16_nd_c_D,rIVA16D<EX,l10n_co_chart_template_generic,purchase,R IVA 16% DIRECTO - SERVICIO NACIONAL DE UN NO DOMICILIADO,288,1,,percent
tax_riva_16_nd_c_asum_D,rIVA16D<EX\,l10n_co_chart_template_generic,purchase,R IVA 16% DIRECTO - SERVICIO NACIONAL DE UN NO DOMICILIADO ASSUMID0,289,-0.16,,percent
tax_riva_16_nd_c_cp_D,rIVA16D<EX/,l10n_co_chart_template_generic,purchase,R IVA 16% DIRECTO - SERVICIO NACIONAL DE UN NO DOMICILIADO CONTRAPARTIDA,290,0.16,,percent
tax_riva_240_rs_c_C,rIVA24C<RS,l10n_co_chart_template_generic,purchase,R IVA 2.4% COMMUN - AL RS,291,1,,percent
tax_riva_240_rs_c_asum_C,rIVA24C<RS\,l10n_co_chart_template_generic,purchase,R IVA 2.4% COMMUN - AL RS ASUMIDO,292,-0.024,,percent
tax_riva_240_rs_c_cp_C,rIVA24C<RS/,l10n_co_chart_template_generic,purchase,R IVA 2.4% COMMUN - AL RS CONTRAPARTIDA,293,0.024,,percent
tax_riva_075_rs_c_C,rIVA75C<RS,l10n_co_chart_template_generic,purchase,R IVA 0.75% COMMUN - AL RS,294,1,,percent
tax_riva_075_rs_c_asum_C,rIVA75C<RS\,l10n_co_chart_template_generic,purchase,R IVA 0.75% COMMUN - AL RS ASUMIDO,295,-0.0075,,percent
tax_riva_075_rs_c_cp_C,rIVA75C<RS/,l10n_co_chart_template_generic,purchase,R IVA 0.75% COMMUN - AL RS CONTRAPARTIDA,296,0.0075,,percent
tax_riva_16_nd_c_C,rIVA16C<EX,l10n_co_chart_template_generic,purchase,R IVA 16% COMMUN - SERVICIO NACIONAL DE UN NO DOMICILIADO,297,1,,percent
tax_riva_16_nd_c_asum_C,rIVA16C<EX\,l10n_co_chart_template_generic,purchase,R IVA 16% COMMUN - SERVICIO NACIONAL DE UN NO DOMICILIADO ASUMIDO,298,-0.16,,percent
tax_riva_16_nd_c_cp_C,rIVA16C<EX/,l10n_co_chart_template_generic,purchase,R IVA 16% COMMUN - SERVICIO NACIONAL DE UN NO DOMICILIADO CONTRAPARTIDA,299,0.16,,percent
tax_riva_240_rs_c_N,rIVA24N<RS,l10n_co_chart_template_generic,purchase,R IVA 2.4% NO DESCONTABLE - AL RS,300,1,,percent
tax_riva_240_rs_c_asum_N,rIVA24N<RS\,l10n_co_chart_template_generic,purchase,R IVA 2.4% NO DESCONTABLE - AL RS ASUMIDO,301,-0.024,,percent
tax_riva_240_rs_c_cp_N,rIVA24N<RS/,l10n_co_chart_template_generic,purchase,R IVA 2.4% NO DESCONTABLE - AL RS CONTRAPARTIDA,302,0.024,,percent
tax_riva_075_rs_c_N,rIVA75N<RS,l10n_co_chart_template_generic,purchase,R IVA 0.75% NO DESCONTABLE - AL RS,303,1,,percent
tax_riva_075_rs_c_asum_N,rIVA75N<RS\,l10n_co_chart_template_generic,purchase,R IVA 0.75% NO DESCONTABLE - AL RS ASUMIDO,304,-0.0075,,percent
tax_riva_075_rs_c_cp_N,rIVA75N<RS/,l10n_co_chart_template_generic,purchase,R IVA 0.75% NO DESCONTABLE - AL RS CONTRAPARTIDA,305,0.0075,,percent
tax_riva_16_nd_c_N,rIVA16N<EX,l10n_co_chart_template_generic,purchase,R IVA 16% NO DESCONTABLE - SERVICIO NACIONAL DE UN NO DOMICILIADO,306,1,,percent
tax_riva_16_nd_c_asum_N,rIVA16N<EX\,l10n_co_chart_template_generic,purchase,R IVA 16% NO DESCONTABLE - SERVICIO NACIONAL DE UN NO DOMICILIADO ASUMIDO,307,-0.16,,percent
tax_riva_16_nd_c_cp_N,rIVA16N<EX/,l10n_co_chart_template_generic,purchase,R IVA 16% NO DESCONTABLE - SERVICIO NACIONAL DE UN NO DOMICILIADO CONTRAPARTIDA,308,0.16,,percent
tax_rrenta_ENAJE_01act,rRENenaAFIJ>,l10n_co_chart_template_generic,purchase,R REN C Enajenación de activos fijos; vendedor pers. natural no agente,600,-0.01,,percent
tax_rrenta_ENAJE_01pas,rRENenaAFIJ<,l10n_co_chart_template_generic,sale,R REN V Enajenación de activos fijos; vendedor pers. natural no agente ,500,-0.01,,percent
tax_rrenta_ENAJE_01pasext,rRENenaAFIJ>EX,l10n_co_chart_template_generic,purchase,R REN EXTERIOR Enajenación de activos fijos; vendedor pers. natural no agente,700,-0.01,,percent
tax_rrenta_ENAJE_01paspf,rRENenaAFIJ>PF,l10n_co_chart_template_generic,purchase,R REN PARAISO Enajenación de activos fijos; vendedor pers. natural no agente ,800,-0.33,,percent
tax_rrenta_ADQUI_02act,rRENadqRAIC>,l10n_co_chart_template_generic,purchase,R REN C Adquisición de Bienes Raíces; no vivienda; agente,601,-0.025,,percent
tax_rrenta_ADQUI_02pas,rRENadqRAIC<,l10n_co_chart_template_generic,sale,R REN V Adquisición de Bienes Raíces; no vivienda; agente,501,-0.025,,percent
tax_rrenta_ADQUI_02actext,rRENadqRAIC>EX,l10n_co_chart_template_generic,purchase,R REN EXTERIOR Adquisición de Bienes Raíces; no vivienda; agente,701,-0.025,,percent
tax_rrenta_ADQUI_02actpf,rRENadqRAIC>PF,l10n_co_chart_template_generic,purchase,R REN PARAISO Adquisición de Bienes Raíces; no vivienda; agente,801,-0.33,,percent
tax_rrenta_ADQUI_02pasauto,rRENadqRAIC<AR,l10n_co_chart_template_generic,sale,AR REN - Adquisición de Bienes Raíces; no vivienda; agente,900,1,,percent
tax_rrenta_ADQUI_02pasauto_ASU,rRENadqRAIC<AR\,l10n_co_chart_template_generic,sale,AR REN - Adquisición de Bienes Raíces; no vivienda; agente ASIMUDO,901,0.025,,percent
