id,name,description,type_tax_use,type,amount,child_depend,parent_id:id,account_collected_id:id,account_paid_id:id,base_sign,tax_sign,base_code_id:id,tax_code_id:id,ref_base_sign,ref_tax_sign,ref_base_code_id:id,ref_tax_code_id:id,chart_template_id:id,sequence
lu_2011_tax_AB-EC-6-n,Achat Biens 6% - Extracommunautaire (-),AB-EC-6-n,purchase,percent,-0.06,0,lu_2011_tax_AB-EC-6,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-EC-6-n,1.0,1.0,,lu_tax_code_template_t_AB-EC-6-n,lu_2011_chart_1,1118
lu_2011_tax_AB-EC-6-p,Achat Biens 6% - Extracommunautaire (+),AB-EC-6-p,purchase,percent,0.06,0,lu_2011_tax_AB-EC-6,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-EC-6,lu_tax_code_template_t_AB-EC-6,-1.0,-1.0,lu_tax_code_template_b_AB-EC-6,lu_tax_code_template_t_AB-EC-6,lu_2011_chart_1,1119
lu_2015_tax_AB-EC-8,Achat Biens 8% - Extracommunautaire,AB-EC-8,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,120
lu_2015_tax_AB-EC-8-n,Achat Biens 8% - Extracommunautaire (-),AB-EC-8-n,purchase,percent,-0.08,0,lu_2015_tax_AB-EC-8,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-EC-8-n,1.0,1.0,,lu_tax_code_template_t_AB-EC-8-n,lu_2011_chart_1,1121
lu_2015_tax_AB-EC-8-p,Achat Biens 8% - Extracommunautaire (+),AB-EC-8-p,purchase,percent,0.08,0,lu_2015_tax_AB-EC-8,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-EC-8,lu_tax_code_template_t_AB-EC-8,-1.0,-1.0,lu_tax_code_template_b_AB-EC-8,lu_tax_code_template_t_AB-EC-8,lu_2011_chart_1,1122
lu_2015_tax_AB-ECP-0,Achat Biens Exonéré - Extracommunautaire fin privées,AB-ECP-0,purchase,percent,0.0,0,,,,1.0,1.0,lu_tax_code_template_b_AB-ECP-0,,-1.0,-1.0,lu_tax_code_template_b_AB-ECP-0,,lu_2011_chart_1,123
lu_2015_tax_AB-ECP-12,Achat Biens 12% - Extracommunautaire fin privées,AB-ECP-12,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,124
lu_2015_tax_AB-ECP-12-n,Achat Biens 12% - Extracommunautaire fin privées (-),AB-ECP-12-n,purchase,percent,-0.12,0,lu_2015_tax_AB-ECP-12,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-ECP-12-n,1.0,1.0,,lu_tax_code_template_t_AB-ECP-12-n,lu_2011_chart_1,1125
lu_2015_tax_AB-ECP-12-p,Achat Biens 12% - Extracommunautaire fin privées (+),AB-ECP-12-p,purchase,percent,0.12,0,lu_2015_tax_AB-ECP-12,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-ECP-12,lu_tax_code_template_t_AB-ECP-12,-1.0,-1.0,lu_tax_code_template_b_AB-ECP-12,lu_tax_code_template_t_AB-ECP-12,lu_2011_chart_1,1126
lu_2015_tax_AB-ECP-14,Achat Biens 14% - Extracommunautaire fin privées,AB-ECP-14,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,127
lu_2015_tax_AB-ECP-14-n,Achat Biens 14% - Extracommunautaire fin privées (-),AB-ECP-14-n,purchase,percent,-0.14,0,lu_2015_tax_AB-ECP-14,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-ECP-14-n,1.0,1.0,,lu_tax_code_template_t_AB-ECP-14-n,lu_2011_chart_1,1128
lu_2015_tax_AB-ECP-14-p,Achat Biens 14% - Extracommunautaire fin privées (+),AB-ECP-14-p,purchase,percent,0.14,0,lu_2015_tax_AB-ECP-14,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-ECP-14,lu_tax_code_template_t_AB-ECP-14,-1.0,-1.0,lu_tax_code_template_b_AB-ECP-14,lu_tax_code_template_t_AB-ECP-14,lu_2011_chart_1,1129
lu_2015_tax_AB-ECP-15,Achat Biens 15% - Extracommunautaire fin privées,AB-ECP-15,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,130
lu_2015_tax_AB-ECP-15-n,Achat Biens 15% - Extracommunautaire fin privées (-),AB-ECP-15-n,purchase,percent,-0.15,0,lu_2015_tax_AB-ECP-15,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-ECP-15-n,1.0,1.0,,lu_tax_code_template_t_AB-ECP-15-n,lu_2011_chart_1,1131
lu_2015_tax_AB-ECP-15-p,Achat Biens 15% - Extracommunautaire fin privées (+),AB-ECP-15-p,purchase,percent,0.15,0,lu_2015_tax_AB-ECP-15,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-ECP-15,lu_tax_code_template_t_AB-ECP-15,-1.0,-1.0,lu_tax_code_template_b_AB-ECP-15,lu_tax_code_template_t_AB-ECP-15,lu_2011_chart_1,1132
lu_2015_tax_AB-ECP-17,Achat Biens 17% - Extracommunautaire fin privées,AB-ECP-17,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,133
lu_2015_tax_AB-ECP-17-n,Achat Biens 17% - Extracommunautaire fin privées (-),AB-ECP-17-n,purchase,percent,-0.17,0,lu_2015_tax_AB-ECP-17,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-ECP-17-n,1.0,1.0,,lu_tax_code_template_t_AB-ECP-17-n,lu_2011_chart_1,1134
lu_2015_tax_AB-ECP-17-p,Achat Biens 17% - Extracommunautaire fin privées (+),AB-ECP-17-p,purchase,percent,0.17,0,lu_2015_tax_AB-ECP-17,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-ECP-17,lu_tax_code_template_t_AB-ECP-17,-1.0,-1.0,lu_tax_code_template_b_AB-ECP-17,lu_tax_code_template_t_AB-ECP-17,lu_2011_chart_1,1135
lu_2015_tax_AB-ECP-3,Achat Biens 3% - Extracommunautaire fin privées,AB-ECP-3,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,136
lu_2015_tax_AB-ECP-3-n,Achat Biens 3% - Extracommunautaire fin privées (-),AB-ECP-3-n,purchase,percent,-0.03,0,lu_2015_tax_AB-ECP-3,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-ECP-3-n,1.0,1.0,,lu_tax_code_template_t_AB-ECP-3-n,lu_2011_chart_1,1137
lu_2015_tax_AB-ECP-3-p,Achat Biens 3% - Extracommunautaire fin privées (+),AB-ECP-3-p,purchase,percent,0.03,0,lu_2015_tax_AB-ECP-3,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-ECP-3,lu_tax_code_template_t_AB-ECP-3,-1.0,-1.0,lu_tax_code_template_b_AB-ECP-3,lu_tax_code_template_t_AB-ECP-3,lu_2011_chart_1,1138
lu_2015_tax_AB-ECP-6,Achat Biens 6% - Extracommunautaire fin privées,AB-ECP-6,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,139
lu_2015_tax_AB-ECP-6-n,Achat Biens 6% - Extracommunautaire fin privées (-),AB-ECP-6-n,purchase,percent,-0.06,0,lu_2015_tax_AB-ECP-6,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-ECP-6-n,1.0,1.0,,lu_tax_code_template_t_AB-ECP-6-n,lu_2011_chart_1,1140
lu_2015_tax_AB-ECP-6-p,Achat Biens 6% - Extracommunautaire fin privées (+),AB-ECP-6-p,purchase,percent,0.06,0,lu_2015_tax_AB-ECP-6,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-ECP-6,lu_tax_code_template_t_AB-ECP-6,-1.0,-1.0,lu_tax_code_template_b_AB-ECP-6,lu_tax_code_template_t_AB-ECP-6,lu_2011_chart_1,1141
lu_2015_tax_AB-ECP-8,Achat Biens 8% - Extracommunautaire fin privées,AB-ECP-8,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,142
lu_2015_tax_AB-ECP-8-n,Achat Biens 8% - Extracommunautaire fin privées (-),AB-ECP-8-n,purchase,percent,-0.08,0,lu_2015_tax_AB-ECP-8,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-ECP-8-n,1.0,1.0,,lu_tax_code_template_t_AB-ECP-8-n,lu_2011_chart_1,1143
lu_2015_tax_AB-ECP-8-p,Achat Biens 8% - Extracommunautaire fin privées (+),AB-ECP-8-p,purchase,percent,0.08,0,lu_2015_tax_AB-ECP-8,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-ECP-8,lu_tax_code_template_t_AB-ECP-8,-1.0,-1.0,lu_tax_code_template_b_AB-ECP-8,lu_tax_code_template_t_AB-ECP-8,lu_2011_chart_1,1144
lu_2011_tax_AB-IC-0,Achat Biens Exonéré - Intracommunautaire,AB-IC-0,purchase,percent,0.0,0,,,,1.0,1.0,lu_tax_code_template_b_AB-IC-0,,-1.0,-1.0,lu_tax_code_template_b_AB-IC-0,,lu_2011_chart_1,145
lu_2011_tax_AB-IC-12,Achat Biens 12% - Intracommunautaire,AB-IC-12,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,146
lu_2011_tax_AB-IC-12-n,Achat Biens 12% - Intracommunautaire (-),AB-IC-12-n,purchase,percent,-0.12,0,lu_2011_tax_AB-IC-12,lu_2011_account_4614112,lu_2011_account_4614112,-1.0,-1.0,,lu_tax_code_template_t_AB-IC-12-n,1.0,1.0,,lu_tax_code_template_t_AB-IC-12-n,lu_2011_chart_1,1147
lu_2011_tax_AB-IC-12-p,Achat Biens 12% - Intracommunautaire (+),AB-IC-12-p,purchase,percent,0.12,0,lu_2011_tax_AB-IC-12,lu_2011_account_4216112,lu_2011_account_4216112,1.0,1.0,lu_tax_code_template_b_AB-IC-12,lu_tax_code_template_t_AB-IC-12,-1.0,-1.0,lu_tax_code_template_b_AB-IC-12,lu_tax_code_template_t_AB-IC-12,lu_2011_chart_1,1148
lu_2015_tax_AB-IC-14,Achat Biens 14% - Intracommunautaire,AB-IC-14,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,149
lu_2015_tax_AB-IC-14-n,Achat Biens 14% - Intracommunautaire (-),AB-IC-14-n,purchase,percent,-0.14,0,lu_2015_tax_AB-IC-14,lu_2011_account_4614112,lu_2011_account_4614112,-1.0,-1.0,,lu_tax_code_template_t_AB-IC-14-n,1.0,1.0,,lu_tax_code_template_t_AB-IC-14-n,lu_2011_chart_1,1150
lu_2015_tax_AB-IC-14-p,Achat Biens 14% - Intracommunautaire (+),AB-IC-14-p,purchase,percent,0.14,0,lu_2015_tax_AB-IC-14,lu_2011_account_4216112,lu_2011_account_4216112,1.0,1.0,lu_tax_code_template_b_AB-IC-14,lu_tax_code_template_t_AB-IC-14,-1.0,-1.0,lu_tax_code_template_b_AB-IC-14,lu_tax_code_template_t_AB-IC-14,lu_2011_chart_1,1151
lu_2011_tax_AB-IC-15,Achat Biens 15% - Intracommunautaire,AB-IC-15,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,152
lu_2011_tax_AB-IC-15-n,Achat Biens 15% - Intracommunautaire (-),AB-IC-15-n,purchase,percent,-0.15,0,lu_2011_tax_AB-IC-15,lu_2011_account_4614112,lu_2011_account_4614112,-1.0,-1.0,,lu_tax_code_template_t_AB-IC-15-n,1.0,1.0,,lu_tax_code_template_t_AB-IC-15-n,lu_2011_chart_1,1153
lu_2011_tax_AB-IC-15-p,Achat Biens 15% - Intracommunautaire (+),AB-IC-15-p,purchase,percent,0.15,0,lu_2011_tax_AB-IC-15,lu_2011_account_4216112,lu_2011_account_4216112,1.0,1.0,lu_tax_code_template_b_AB-IC-15,lu_tax_code_template_t_AB-IC-15,-1.0,-1.0,lu_tax_code_template_b_AB-IC-15,lu_tax_code_template_t_AB-IC-15,lu_2011_chart_1,1154
lu_2015_tax_AB-IC-17,Achat Biens 17% - Intracommunautaire,AB-IC-17,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,155
lu_2015_tax_AB-IC-17-n,Achat Biens 17% - Intracommunautaire (-),AB-IC-17-n,purchase,percent,-0.17,0,lu_2015_tax_AB-IC-17,lu_2011_account_4614112,lu_2011_account_4614112,-1.0,-1.0,,lu_tax_code_template_t_AB-IC-17-n,1.0,1.0,,lu_tax_code_template_t_AB-IC-17-n,lu_2011_chart_1,1156
lu_2015_tax_AB-IC-17-p,Achat Biens 17% - Intracommunautaire (+),AB-IC-17-p,purchase,percent,0.17,0,lu_2015_tax_AB-IC-17,lu_2011_account_4216112,lu_2011_account_4216112,1.0,1.0,lu_tax_code_template_b_AB-IC-17,lu_tax_code_template_t_AB-IC-17,-1.0,-1.0,lu_tax_code_template_b_AB-IC-17,lu_tax_code_template_t_AB-IC-17,lu_2011_chart_1,1157
lu_2011_tax_AB-IC-3,Achat Biens 3% - Intracommunautaire,AB-IC-3,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,158
lu_2011_tax_AB-IC-3-n,Achat Biens 3% - Intracommunautaire (-),AB-IC-3-n,purchase,percent,-0.03,0,lu_2011_tax_AB-IC-3,lu_2011_account_4614112,lu_2011_account_4614112,-1.0,-1.0,,lu_tax_code_template_t_AB-IC-3-n,1.0,1.0,,lu_tax_code_template_t_AB-IC-3-n,lu_2011_chart_1,1159
lu_2011_tax_AB-IC-3-p,Achat Biens 3% - Intracommunautaire (+),AB-IC-3-p,purchase,percent,0.03,0,lu_2011_tax_AB-IC-3,lu_2011_account_4216112,lu_2011_account_4216112,1.0,1.0,lu_tax_code_template_b_AB-IC-3,lu_tax_code_template_t_AB-IC-3,-1.0,-1.0,lu_tax_code_template_b_AB-IC-3,lu_tax_code_template_t_AB-IC-3,lu_2011_chart_1,1160
lu_2011_tax_AB-IC-6,Achat Biens 6% - Intracommunautaire,AB-IC-6,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,161
lu_2011_tax_AB-IC-6-n,Achat Biens 6% - Intracommunautaire (-),AB-IC-6-n,purchase,percent,-0.06,0,lu_2011_tax_AB-IC-6,lu_2011_account_4614112,lu_2011_account_4614112,-1.0,-1.0,,lu_tax_code_template_t_AB-IC-6-n,1.0,1.0,,lu_tax_code_template_t_AB-IC-6-n,lu_2011_chart_1,1162
lu_2011_tax_AB-IC-6-p,Achat Biens 6% - Intracommunautaire (+),AB-IC-6-p,purchase,percent,0.06,0,lu_2011_tax_AB-IC-6,lu_2011_account_4216112,lu_2011_account_4216112,1.0,1.0,lu_tax_code_template_b_AB-IC-6,lu_tax_code_template_t_AB-IC-6,-1.0,-1.0,lu_tax_code_template_b_AB-IC-6,lu_tax_code_template_t_AB-IC-6,lu_2011_chart_1,1163
lu_2015_tax_AB-IC-8,Achat Biens 8% - Intracommunautaire,AB-IC-8,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,164
lu_2015_tax_AB-IC-8-n,Achat Biens 8% - Intracommunautaire (-),AB-IC-8-n,purchase,percent,-0.08,0,lu_2015_tax_AB-IC-8,lu_2011_account_4614112,lu_2011_account_4614112,-1.0,-1.0,,lu_tax_code_template_t_AB-IC-8-n,1.0,1.0,,lu_tax_code_template_t_AB-IC-8-n,lu_2011_chart_1,1165
lu_2015_tax_AB-IC-8-p,Achat Biens 8% - Intracommunautaire (+),AB-IC-8-p,purchase,percent,0.08,0,lu_2015_tax_AB-IC-8,lu_2011_account_4216112,lu_2011_account_4216112,1.0,1.0,lu_tax_code_template_b_AB-IC-8,lu_tax_code_template_t_AB-IC-8,-1.0,-1.0,lu_tax_code_template_b_AB-IC-8,lu_tax_code_template_t_AB-IC-8,lu_2011_chart_1,1166
lu_2011_tax_AB-PA-0,Achat Biens 0% - Pays,AB-PA-0,purchase,percent,0.0,0,,,,1.0,1.0,lu_tax_code_template_b_AB-PA-0,,-1.0,-1.0,lu_tax_code_template_b_AB-PA-0,,lu_2011_chart_1,167
lu_2011_tax_AB-PA-12,Achat Biens 12% - Pays,AB-PA-12,purchase,percent,0.12,0,,lu_2011_account_4216111,lu_2011_account_4216111,1.0,1.0,lu_tax_code_template_b_AB-PA-12,lu_tax_code_template_t_AB-PA-12,-1.0,-1.0,lu_tax_code_template_b_AB-PA-12,lu_tax_code_template_t_AB-PA-12,lu_2011_chart_1,168
lu_2015_tax_AB-PA-14,Achat Biens 14% - Pays,AB-PA-14,purchase,percent,0.14,0,,lu_2011_account_4216111,lu_2011_account_4216111,1.0,1.0,lu_tax_code_template_b_AB-PA-14,lu_tax_code_template_t_AB-PA-14,-1.0,-1.0,lu_tax_code_template_b_AB-PA-14,lu_tax_code_template_t_AB-PA-14,lu_2011_chart_1,169
lu_2011_tax_AB-PA-15,Achat Biens 15% - Pays,AB-PA-15,purchase,percent,0.15,0,,lu_2011_account_4216111,lu_2011_account_4216111,1.0,1.0,lu_tax_code_template_b_AB-PA-15,lu_tax_code_template_t_AB-PA-15,-1.0,-1.0,lu_tax_code_template_b_AB-PA-15,lu_tax_code_template_t_AB-PA-15,lu_2011_chart_1,170
lu_2015_tax_AB-PA-17,Achat Biens 17% - Pays,AB-PA-17,purchase,percent,0.17,0,,lu_2011_account_4216111,lu_2011_account_4216111,1.0,1.0,lu_tax_code_template_b_AB-PA-17,lu_tax_code_template_t_AB-PA-17,-1.0,-1.0,lu_tax_code_template_b_AB-PA-17,lu_tax_code_template_t_AB-PA-17,lu_2011_chart_1,171
lu_2011_tax_AB-PA-3,Achat Biens 3% - Pays,AB-PA-3,purchase,percent,0.03,0,,lu_2011_account_4216111,lu_2011_account_4216111,1.0,1.0,lu_tax_code_template_b_AB-PA-3,lu_tax_code_template_t_AB-PA-3,-1.0,-1.0,lu_tax_code_template_b_AB-PA-3,lu_tax_code_template_t_AB-PA-3,lu_2011_chart_1,172
lu_2011_tax_AB-PA-6,Achat Biens 6% - Pays,AB-PA-6,purchase,percent,0.06,0,,lu_2011_account_4216111,lu_2011_account_4216111,1.0,1.0,lu_tax_code_template_b_AB-PA-6,lu_tax_code_template_t_AB-PA-6,-1.0,-1.0,lu_tax_code_template_b_AB-PA-6,lu_tax_code_template_t_AB-PA-6,lu_2011_chart_1,173
lu_2015_tax_AB-PA-8,Achat Biens 8% - Pays,AB-PA-8,purchase,percent,0.08,0,,lu_2011_account_4216111,lu_2011_account_4216111,1.0,1.0,lu_tax_code_template_b_AB-PA-8,lu_tax_code_template_t_AB-PA-8,-1.0,-1.0,lu_tax_code_template_b_AB-PA-8,lu_tax_code_template_t_AB-PA-8,lu_2011_chart_1,174
lu_2011_tax_AP-EC-0,Achat Prestations Exonérées - Extracommunautaire,AP-EC-0,purchase,percent,0.0,0,,,,1.0,1.0,lu_tax_code_template_b_AP-EC-0,,-1.0,-1.0,lu_tax_code_template_b_AP-EC-0,,lu_2011_chart_1,175
lu_2011_tax_AP-EC-12,Achat Prestations 12% - Extracommunautaire,AP-EC-12,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,176
lu_2011_tax_AP-EC-12-n,Achat Prestations 12% - Extracommunautaire (-),AP-EC-12-n,purchase,percent,-0.12,0,lu_2011_tax_AP-EC-12,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AP-EC-12-n,1.0,1.0,,lu_tax_code_template_t_AP-EC-12-n,lu_2011_chart_1,1177
lu_2011_tax_AP-EC-12-p,Achat Prestations 12% - Extracommunautaire (+),AP-EC-12-p,purchase,percent,0.12,0,lu_2011_tax_AP-EC-12,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AP-EC-12,lu_tax_code_template_t_AP-EC-12,-1.0,-1.0,lu_tax_code_template_b_AP-EC-12,lu_tax_code_template_t_AP-EC-12,lu_2011_chart_1,1178
lu_2015_tax_AP-EC-14,Achat Prestations 14% - Extracommunautaire,AP-EC-14,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,179
lu_2015_tax_AP-EC-14-n,Achat Prestations 14% - Extracommunautaire (-),AP-EC-14-n,purchase,percent,-0.14,0,lu_2015_tax_AP-EC-14,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AP-EC-14-n,1.0,1.0,,lu_tax_code_template_t_AP-EC-14-n,lu_2011_chart_1,1180
lu_2015_tax_AP-EC-14-p,Achat Prestations 14% - Extracommunautaire (+),AP-EC-14-p,purchase,percent,0.14,0,lu_2015_tax_AP-EC-14,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AP-EC-14,lu_tax_code_template_t_AP-EC-14,-1.0,-1.0,lu_tax_code_template_b_AP-EC-14,lu_tax_code_template_t_AP-EC-14,lu_2011_chart_1,1181
lu_2011_tax_AP-EC-15,Achat Prestations 15% - Extracommunautaire,AP-EC-15,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,182
